"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BCOM","B Communications Ltd.","28.4699","$851.25M","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/bcom",
"BGS","B&G Foods, Inc.","34.89","$2.02B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bgs",
"RILY","B. Riley Financial, Inc.","9.8","$159.95M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily",
"BOSC","B.O.S. Better Online Solutions","1.75","$41.16M","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BEAV","B/E Aerospace, Inc.","43.68","$4.46B","1990","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/beav",
"BTG","B2Gold Corp","1.28","$1.19B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BW","Babcock","19.22","$999.3M","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/bw",
"MCI","Babson Capital Corporate Investors","17.3","$336.13M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mci",
"BGH","Babson Capital Global Short Duration High Yield Fund","16.11","$323.13M","2012","n/a","n/a","http://www.nasdaq.com/symbol/bgh",
"MPV","Babson Capital Participation Investors","13.882","$142.42M","1988","n/a","n/a","http://www.nasdaq.com/symbol/mpv",
"BMI","Badger Meter, Inc.","67.45","$979.53M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bmi",
"BIDU","Baidu, Inc.","172.81","$59.8B","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BHI","Baker Hughes Incorporated","44.05","$19.29B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bhi",
"BCPC","Balchem Corporation","58.93","$1.86B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bcpc",
"BBN","BalckRock Taxable Municipal Bond Trust","22.4","$1.28B","2010","n/a","n/a","http://www.nasdaq.com/symbol/bbn",
"BWINA","Baldwin & Lyons, Inc.","23","$345.48M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","23.97","$360.05M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BLL","Ball Corporation","67.42","$9.55B","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/bll",
"BTN","Ballantyne Strong, Inc","4.23","$59.91M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BLDP","Ballard Power Systems, Inc.","1.48","$232.12M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BGE^B","Baltimore Gas & Electric Company","25.73","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bge^b",
"BANC","Banc of California, Inc.","15.12","$580.35M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banc",
"BANC^C","Banc of California, Inc.","26.735","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/banc^c",
"BANC^D","Banc of California, Inc.","25.862","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/banc^d",
"BANC^E","Banc of California, Inc.","25.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/banc^e",
"BOCA","Banc of California, Inc.","25.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boca",
"BANF","BancFirst Corporation","58.06","$905.58M","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","27.13","$27.13M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.72","$42.78B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","6.94","$35B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","7.61","$38.38B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","64.49","$10.33B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bch",
