"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CFFI","C&F Financial Corporation","39.17","$132.84M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cffi",
"CJES","C&J Energy Services, Ltd.","1.71","$205.55M","2015","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"CHRW","C.H. Robinson Worldwide, Inc.","71.63","$10.26B","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"BCR","C.R. Bard, Inc.","193.99","$14.3B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"BNK","C1 Financial, Inc.","24.03","$386.91M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/bnk",
"CA","CA Inc.","29.6","$12.34B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"GYB","CABCO Series 2004-101 Trust","19.37","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","18.42","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CAB","Cabela&#39;s Inc","48.42","$3.28B","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CABO","Cable One, Inc.","445.77","$2.61B","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CVC","Cablevision Systems Corporation","33.25","$9.2B","1986","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cvc",
"CBT","Cabot Corporation","47.36","$2.95B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"CCMP","Cabot Microelectronics Corporation","39.29","$950.65M","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"COG","Cabot Oil & Gas Corporation","21.37","$8.85B","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CACI","CACI International, Inc.","98.8","$2.4B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CDNS","Cadence Design Systems, Inc.","21.94","$6.7B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CDZI","Cadiz, Inc.","4.99","$89.18M","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"CAE","CAE Inc","11.2","$3.02B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CACQ","Caesars Acquisition Company","5.73","$786.97M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cacq",
"CZR","Caesars Entertainment Corporation","7.53","$1.09B","2012","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"CSTE","CaesarStone Sdot-Yam Ltd.","37.39","$1.32B","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"PRSS","CafePress Inc.","3.63","$61.51M","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prss",
"CAI","CAI International, Inc.","9.14","$184.83M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CLBS","Caladrius Biosciences, Inc.","0.6","$33.22M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/clbs",
"CLMS","Calamos Asset Management, Inc.","8.52","$174.93M","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/clms",
"CHY","Calamos Convertible and High Income Fund","9.78","$709.13M","2003","n/a","n/a","http://www.nasdaq.com/symbol/chy",
"CHI","Calamos Convertible Opportunities and Income Fund","9","$616.11M","2002","n/a","n/a","http://www.nasdaq.com/symbol/chi",
"CCD","Calamos Dynamic Convertible & Income Fund","17.12","$417.47M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ccd",
"CFGE","Calamos Focus Growth ETF","9.73","$25.3M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfge",
"CHW","Calamos Global Dynamic Income Fund","6.61","$390.04M","2007","n/a","n/a","http://www.nasdaq.com/symbol/chw",
"CGO","Calamos Global Total Return Fund","10.522","$89.07M","2005","n/a","n/a","http://www.nasdaq.com/symbol/cgo",
"CSQ","Calamos Strategic Total Return Fund","9.06","$1.4B","2004","n/a","n/a","http://www.nasdaq.com/symbol/csq",
"CAMP","CalAmp Corp.","18.04","$660.11M","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"CAA","CalAtlantic Group, Inc.","30.54","$3.7B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/caa",
"CVGW","Calavo Growers, Inc.","54.6","$949.18M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cvgw",
"CAL","Caleres, Inc.","28.68","$1.25B","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/cal",
