"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ETFC","E*TRADE Financial Corporation","24.36","$6.89B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/etfc",
"DD","E.I. du Pont de Nemours and Company","63.52","$55.37B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd",
"DD^A","E.I. du Pont de Nemours and Company","79.1","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^a",
"DD^B","E.I. du Pont de Nemours and Company","101.259","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^b",
"SSP","E.W. Scripps Company (The)","17.57","$1.47B","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ssp",
"EBMT","Eagle Bancorp Montana, Inc.","12.405","$46.85M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","48.84","$1.64B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/egbn",
"EGLE","Eagle Bulk Shipping Inc.","1.99","$76.08M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"GRF","Eagle Capital Growth Fund, Inc.","7.593","$23.73M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf",
"EGIF","Eagle Growth and Income Opportunities Fund","15.29","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/egif",
"EXP","Eagle Materials Inc","62.22","$3.07B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/exp",
"EGRX","Eagle Pharmaceuticals, Inc.","62.79","$981.81M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/egrx",
"ECC           ","Eagle Point Credit Company Inc.","16.22","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/ecc           ",
"ECCA","Eagle Point Credit Company Inc.","24.4674","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/ecca",
"ECCZ","Eagle Point Credit Company Inc.","24.02","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/eccz",
"ELNK","EarthLink Holdings Corp.","5.79","$601.62M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/elnk",
"ESTE","Earthstone Energy, Inc.","11.7","$161.87M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"EWBC","East West Bancorp, Inc.","31.33","$4.51B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ewbc",
"EACQ","Easterly Acquisition Corp.","9.67","$241.75M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eacq",
