"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FNB","F.N.B. Corporation","13.02","$2.73B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","28.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fnb^e",
"FFIV","F5 Networks, Inc.","99.77","$6.86B","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FN","Fabrinet","26.35","$947.01M","2010","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/fn",
"FB","Facebook, Inc.","105.93","$301.51B","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"FDS","FactSet Research Systems Inc.","157.97","$6.51B","1996","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fds",
"FICO","Fair Isaac Corporation","97.89","$3.07B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"FCS","Fairchild Semiconductor International, Inc.","19.98","$2.27B","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fcs",
"FMSA","Fairmount Santrol Holdings Inc.","2.5","$403.58M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/fmsa",
"FRP","FairPoint Communications, Inc.","15.58","$419.19M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/frp",
"FWM","Fairway Group Holdings Corp.","0.45","$19.86M","2013","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/fwm",
"FALC","FalconStor Software, Inc.","1.34","$55.97M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"DAVE","Famous Dave&#39;s of America, Inc.","6.33","$44.04M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave",
"FARM","Farmer Brothers Company","26.56","$445.11M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm",
"FFKT","Farmers Capital Bank Corporation","26","$194.94M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffkt",
"FMNB","Farmers National Banc Corp.","8.54","$230.33M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb",
"FPI","Farmland Partners Inc.","10.86","$130.13M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fpi",
"FARO","FARO Technologies, Inc.","33.63","$557.91M","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","46.57","$13.43B","1987","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast",
"FATE","Fate Therapeutics, Inc.","1.95","$56M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","15.8585","$59.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbss",
"FFG","FBL Financial Group, Inc.","60.72","$1.5B","1996","Finance","Life Insurance","http://www.nasdaq.com/symbol/ffg",
"FBRC","FBR & Co","18.6","$131.17M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/fbrc",
"FCB","FCB Financial Holdings, Inc.","32.49","$1.33B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/fcb",
"AGM.A","Federal Agricultural Mortgage Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm.a",
"AGM","Federal Agricultural Mortgage Corporation","32.5","$353.54M","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/agm",
"AGM^A","Federal Agricultural Mortgage Corporation","25.7239","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^a",
"AGM^B","Federal Agricultural Mortgage Corporation","26.63","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^b",
"AGM^C","Federal Agricultural Mortgage Corporation","25.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^c",
"FRT","Federal Realty Investment Trust","149.71","$10.43B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/frt",
"FSS","Federal Signal Corporation","12.59","$785.96M","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fss",
"FDML","Federal-Mogul Holdings Corporation","8.67","$1.47B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/fdml",
"FII","Federated Investors, Inc.","27.71","$2.88B","1998","Finance","Investment Managers","http://www.nasdaq.com/symbol/fii",
"FNHC","Federated National Holding Company","19.85","$282.48M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc",
"FPT","Federated Premier Intermediate Municipal Income Fund","13.62","$95.1M","2002","n/a","n/a","http://www.nasdaq.com/symbol/fpt",
"FMN","Federated Premier Municipal Income Fund","15.15","$93.72M","2002","n/a","n/a","http://www.nasdaq.com/symbol/fmn",
"FDX","FedEx Corporation","142.53","$39.28B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
"FEIC","FEI Company","86.99","$3.55B","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/feic",
"FCH","FelCor Lodging Trust Incorporated","7.65","$1.07B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fch",
"FCH^A","FelCor Lodging Trust Incorporated","25.46","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fch^a",
