"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GK","G&K Services, Inc.","68.7","$1.37B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/gk",
"WILC","G. Willi-Food International,  Ltd.","3.75","$49.15M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/wilc",
"GCV","Gabelli Convertible and Income Securities Fund, Inc. (The)","4.43","$61.24M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv",
"GCV^B","Gabelli Convertible and Income Securities Fund, Inc. (The)","26.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv^b",
"GDV","Gabelli Dividend","17.61","$1.46B","2003","n/a","n/a","http://www.nasdaq.com/symbol/gdv",
"GDV^A","Gabelli Dividend","26.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^a",
"GDV^D","Gabelli Dividend","26.632","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^d",
"GAB","Gabelli Equity Trust, Inc. (The)","5.29","$1.01B","1986","n/a","n/a","http://www.nasdaq.com/symbol/gab",
"GAB^D","Gabelli Equity Trust, Inc. (The)","26.26","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^d",
"GAB^G","Gabelli Equity Trust, Inc. (The)","25.03","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^g",
"GAB^H","Gabelli Equity Trust, Inc. (The)","25.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^h",
"GGZ","Gabelli Global Small and Mid Cap Value Trust (The)","10.28","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/ggz",
"GGT","Gabelli Multi-Media Trust Inc. (The)","7.24","$175.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggt",
"GGT^B","Gabelli Multi-Media Trust Inc. (The)","26.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggt^b",
"GUT","Gabelli Utility Trust (The)","6.25","$260.97M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gut",
