"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HEES","H&E Equipment Services, Inc.","15.37","$545.14M","2006","n/a","n/a","http://www.nasdaq.com/symbol/hees",
"HRB","H&R Block, Inc.","27.88","$6.58B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hrb",
"FUL","H. B. Fuller Company","39.28","$1.97B","n/a","Basic Industries","Home Furnishings","http://www.nasdaq.com/symbol/ful",
"HAE","Haemonetics Corporation","33.54","$1.71B","1991","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hae",
"HLG","Hailiang Education Group Inc.","9.5","$230.29M","2015","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hlg",
"HK","Halcon Resources Corporation","1.13","$138.28M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hk",
"HNRG","Hallador Energy Company","5.38","$156.34M","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","34.48","$29.6B","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/hal",
"HALL","Hallmark Financial Services, Inc.","10.38","$198.72M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hall",
"HALO","Halozyme Therapeutics, Inc.","8.83","$1.14B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/halo",
"HYH","Halyard Health, Inc.","26.99","$1.26B","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hyh",
"HBK","Hamilton Bancorp, Inc.","13.5","$46.14M","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hbk",
"HMPR","Hampton Roads Bankshares Inc","1.7","$290.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hmpr",
"HBHC","Hancock Holding Company","24.96","$1.93B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhc",
"HBHCL","Hancock Holding Company","24.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhcl",
"HNH","Handy & Harman Ltd.","21.37","$260.89M","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/hnh",
"HBI","Hanesbrands Inc.","28.6","$11.2B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/hbi",
"HAFC","Hanmi Financial Corporation","22.15","$712.3M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hafc",
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","17.91","$685.41M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hasi",
"HNSN","Hansen Medical, Inc.","2.57","$48.5M","2006","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hnsn",
"HQCL","Hanwha Q CELLS Co., Ltd. ","16.58","$1.39B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hqcl",
"HDNG","Hardinge, Inc.","9.45","$121.32M","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hdng",
"HOG","Harley-Davidson, Inc.","46.86","$8.62B","n/a","Consumer Non-Durables","Motor Vehicles","http://www.nasdaq.com/symbol/hog",
"HAR","Harman International Industries, Incorporated","77.42","$5.51B","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/har",
"HLIT","Harmonic Inc.","3.18","$276.89M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/hlit",
"HMY","Harmony Gold Mining Company Limited","3.31","$1.44B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/hmy",
"HRMN","Harmony Merger Corp.","9.9","$149.34M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmn",
"HRMNU","Harmony Merger Corp.","10.25","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmnu",
"HRMNW","Harmony Merger Corp.","0.33","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmnw",
"TINY","Harris & Harris Group, Inc.","1.92","$59.33M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/tiny",
"HRS","Harris Corporation","78.17","$9.74B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrs",
"HSC","Harsco Corporation","4.7","$376.44M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hsc",
"HHS","Harte-Hanks, Inc.","3.6","$220.5M","1993","Technology","Advertising","http://www.nasdaq.com/symbol/hhs",
"HGH","Hartford Financial Services Group, Inc. (The)","30.93","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","43.26","$17.16B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hig",
"HIG.WS","Hartford Financial Services Group, Inc. (The)","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hig.ws",
"HART          ","Harvard Apparatus Regenerative Technology, Inc.","1.5","$20.18M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hart          ",
"HBIO","Harvard Bioscience, Inc.","2.83","$96.06M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","10.33","$64.69M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcap",
"HCAPL","Harvest Capital Credit Corporation","24.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcapl",
"HNR","Harvest Natural Resources Inc","0.58","$29.82M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hnr",
"HAS","Hasbro, Inc.","78.58","$9.81B","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/has",
"HTS","Hatteras Financial Corp","14.02","$1.33B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hts",
"HTS^A","Hatteras Financial Corp","22.0903","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hts^a",
"HVT.A","Haverty Furniture Companies, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hvt.a",
"HVT","Haverty Furniture Companies, Inc.","20.6","$456.33M","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hvt",
"HE","Hawaiian Electric Industries, Inc.","30.73","$3.31B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/he",
