"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"JJSF","J & J Snack Foods Corp.","106.8","$2B","1986","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jjsf",
"JPM","J P Morgan Chase & Co","58.78","$215.74B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm",
"JPM.WS","J P Morgan Chase & Co","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm.ws",
"JPM^A","J P Morgan Chase & Co","25.05","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm^a",
"JPM^B","J P Morgan Chase & Co","27.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^b",
"JPM^D","J P Morgan Chase & Co","25.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^d",
"JPM^E","J P Morgan Chase & Co","26.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^e",
"JPM^F","J P Morgan Chase & Co","25.49","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^f",
"JPM^G","J P Morgan Chase & Co","25.63","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^g",
"JPM^H","J P Morgan Chase & Co","25.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm^h",
"JAX","J. Alexander&#39;s Holdings, Inc.","9.95","$149.25M","2015","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/jax",
"MAYS","J. W. Mays, Inc.","52","$104.82M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/mays",
"JBHT","J.B. Hunt Transport Services, Inc.","78.29","$8.83B","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/jbht",
"JCP","J.C. Penney Company, Inc. Holding Company","11.86","$3.63B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/jcp",
"JGW","J.G. Wentworth Company (The)","1.1","$27.47M","2013","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jgw",
"SJM","J.M. Smucker Company (The)","126.21","$15.1B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/sjm",
"JCOM","j2 Global, Inc.","71.84","$3.5B","1999","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcom",
"JASO","JA Solar Holdings, Co., Ltd.","9.04","$456.16M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/jaso",
"JBL","Jabil Circuit, Inc.","21","$4B","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/jbl",
"JKHY","Jack Henry & Associates, Inc.","80.99","$6.39B","1985","Technology","EDP Services","http://www.nasdaq.com/symbol/jkhy",
"JACK","Jack In The Box Inc.","67.67","$2.35B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/jack",
"JXSB","Jacksonville Bancorp Inc.","25","$44.75M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/jxsb",
"JAXB","Jacksonville Bancorp, Inc.","16.43","$95.24M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jaxb",
"JEC","Jacobs Engineering Group Inc.","40.76","$4.99B","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/jec",
"JAGX","Jaguar Animal Health, Inc.","1.45","$11.78M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jagx",
"JAKK","JAKKS Pacific, Inc.","7.48","$167.35M","1996","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/jakk",
"JMBA","Jamba, Inc.","13.31","$200.22M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/jmba",
"JHX","James Hardie Industries plc.","13.08","$5.83B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/jhx",
"JRVR","James River Group Holdings, Ltd.","31.59","$908.83M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/jrvr",
"JNS","Janus Capital Group, Inc","13.67","$2.54B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/jns",
"JSML","Janus Small Cap Growth Alpha ETF","25.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jsml",
"JSMD","Janus Small/Mid Cap Growth Alpha ETF","26.0585","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jsmd",
"JOF","Japan Smaller Capitalization Fund Inc","9.33","$264.36M","1990","n/a","n/a","http://www.nasdaq.com/symbol/jof",
"JAH","Jarden Corporation","53.64","$11.8B","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/jah",
"JASN","Jason Industries, Inc.","3.25","$72.12M","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasn",
"JASNW","Jason Industries, Inc.","0.0825","n/a","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasnw",
"JMI           ","Javelin Mortgage Investment Corp.","7.19","$85.74M","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/jmi           ",
"JAZZ","Jazz Pharmaceuticals plc","125.96","$7.71B","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jazz",
"JD","JD.com, Inc.","26.07","$35.66B","2014","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/jd",
"JSYNU","Jensyn Acquistion Corp.","9.96","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/jsynu",
"JCAP","Jernigan Capital, Inc.","15.01","$92.5M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/jcap",
"JBLU","JetBlue Airways Corporation","19.91","$6.39B","2002","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/jblu",
"JTPY","JetPay Corporation","2.41","$33.48M","2011","Finance","Business Services","http://www.nasdaq.com/symbol/jtpy",
"JCTCF","Jewett-Cameron Trading Company","10.95","$27.12M","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/jctcf",
"DATE","Jiayuan.com International Ltd.","7.315","$243.5M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/date",
"JKS","JinkoSolar Holding Company Limited","22.92","$714.96M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/jks",
"JST","Jinpan International Limited","5.63","$92.44M","1998","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/jst",
"JIVE","Jive Software, Inc.","3.51","$268.61M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/jive",
"WYIG","JM Global Holding Company","9.47","$62.15M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyig",
"WYIGU","JM Global Holding Company","9.77","$64.12M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyigu",
"WYIGW","JM Global Holding Company","0.12","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyigw",
"JMP","JMP Group LLC","5.05","$107.27M","2007","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jmp",
"JMPB","JMP Group LLC","22.9854","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jmpb",
"JMPC","JMP Group LLC","21.63","n/a","2014","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jmpc",
