"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LRN","K12 Inc","10.38","$404.86M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/lrn",
"KTWO","K2M Group Holdings, Inc.","12.95","$533.91M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ktwo",
"KAI","Kadant Inc","41.37","$445.96M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kai",
"KALU","Kaiser Aluminum Corporation","79.24","$1.43B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/kalu",
"KMDA","Kamada Ltd.","3.93","$143.13M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmda",
"KAMN","Kaman Corporation","41.19","$1.11B","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/kamn",
"KNDI","Kandi Technologies Group, Inc.","7.13","$334.86M","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/kndi",
"KSU","Kansas City Southern","83.79","$9.09B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","25.75","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu^",
"KS","KapStone Paper and Packaging Corporation","11.59","$1.12B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ks",
"KAR","KAR Auction Services, Inc","36","$4.93B","2009","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kar",
"KPTI","Karyopharm Therapeutics Inc.","7.84","$280.14M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kpti",
"KATE","Kate Spade & Company","23.26","$2.98B","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kate",
"KED","Kayne Anderson Energy Development Company","13.95","$147.51M","2006","n/a","n/a","http://www.nasdaq.com/symbol/ked",
"KYE","Kayne Anderson Energy Total Return Fund, Inc.","7.41","$267.32M","2005","n/a","n/a","http://www.nasdaq.com/symbol/kye",
"KMF","Kayne Anderson Midstream Energy Fund, Inc","9.83","$217.65M","2010","n/a","n/a","http://www.nasdaq.com/symbol/kmf",
"KYN","Kayne Anderson MLP Investment Company","14.78","$1.61B","2004","n/a","n/a","http://www.nasdaq.com/symbol/kyn",
"KYN^F","Kayne Anderson MLP Investment Company","25.14","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^f",
"KYN^G","Kayne Anderson MLP Investment Company","25.91","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^g",
"KB","KB Financial Group Inc","26.06","$10.07B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/kb",
"KBH","KB Home","13","$1.2B","1986","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/kbh",
"KBR","KBR, Inc.","14.51","$2.06B","2006","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/kbr",
"KBSF","KBS Fashion Group Limited","0.49","$12.46M","2013","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kbsf",
"KAP","KCAP Financial, Inc.","24.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kap",
"KCAP","KCAP Financial, Inc.","3.2","$118.72M","2006","n/a","n/a","http://www.nasdaq.com/symbol/kcap",
"KCG","KCG Holdings, Inc.","11.16","$1.01B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/kcg",
"KRNY","Kearny Financial","11.92","$1.11B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/krny",
"K","Kellogg Company","74.84","$26.21B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/k",
"KELYA","Kelly Services, Inc.","17.58","$667.88M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","17.7","$672.44M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"KIQ","Kelso Technologies Inc","0.88","$40.54M","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq",
"KEM","Kemet Corporation","2.05","$94.01M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/kem",
"KMPA","Kemper Corporation","26.1","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kmpa",
"KMPR","Kemper Corporation","27.96","$1.44B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kmpr",
"KMPH","KemPharm, Inc.","13.53","$195.49M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmph",
"KMT","Kennametal Inc.","22.02","$1.75B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kmt",
"KW","Kennedy-Wilson Holdings Inc.","20.45","$2.34B","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/kw",
"KWN","Kennedy-Wilson Holdings Inc.","26.42","n/a","2012","Finance","Real Estate","http://www.nasdaq.com/symbol/kwn",
"KEN","Kenon Holdings Ltd.","7.81","$419.26M","2015","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/ken",
"KFFB","Kentucky First Federal Bancorp","8.57","$72.33M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/kffb",
"KERX","Keryx Biopharmaceuticals, Inc.","4.79","$507.15M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kerx",
