"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LB","L Brands, Inc.","85.94","$24.87B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/lb",
"FSTR","L.B. Foster Company","15.97","$163.41M","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/fstr",
"SCX","L.S. Starrett Company (The)","10.61","$74.44M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/scx",
"LLL","L-3 Communications Holdings, Inc.","117.91","$9.18B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/lll",
"LJPC","La Jolla Pharmaceutical Company","19.23","$351.02M","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ljpc",
"LQ","La Quinta Holdings Inc.","11.23","$1.4B","2014","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/lq",
"LH","Laboratory Corporation of America Holdings","110.32","$11.22B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/lh",
"DRIO","LabStyle Innovations Corp.","3.56","$10.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/drio",
"DRIOW","LabStyle Innovations Corp.","0.74","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/driow",
"LG","Laclede Group, Inc.","66.5","$2.89B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lg",
"LADR","Ladder Capital Corp","11.18","$1.11B","2014","Finance","Real Estate","http://www.nasdaq.com/symbol/ladr",
"LTS^A","Ladenburg Thalmann Financial Services Inc","23.8014","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lts^a",
"LTS","Ladenburg Thalmann Financial Services Inc","2.48","$454.39M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lts",
"LSBK","Lake Shore Bancorp, Inc.","13.5227","$80.85M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/lsbk",
"LSG","Lake Shore Gold Corp","1.33","$616.09M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lsg",
"LSBG","Lake Sunapee Bank Group","14.47","$120.97M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/lsbg",
"LBAI","Lakeland Bancorp, Inc.","10.17","$385.51M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lbai",
"LKFN","Lakeland Financial Corporation","44.05","$732.82M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lkfn",
"LAKE","Lakeland Industries, Inc.","12.16","$88.05M","1986","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/lake",
"LRCX","Lam Research Corporation","73.34","$11.65B","1984","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lrcx",
"LAMR","Lamar Advertising Company","58.32","$6.49B","1996","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lamr",
"LANC","Lancaster Colony Corporation","106.3","$2.91B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/lanc",
"LDR","Landauer, Inc.","30.09","$288.31M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ldr",
"LNDC","Landec Corporation","10.35","$279.79M","1996","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lndc",
"LARK","Landmark Bancorp Inc.","24.56","$86.16M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lark",
"LMRK","Landmark Infrastructure Partners LP","14.86","$222.38M","2014","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/lmrk",
"LE","Lands&#39; End, Inc.","25.98","$831.14M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/le",
"LSTR","Landstar System, Inc.","60.6","$2.57B","1993","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/lstr",
"LCI","Lannett Co Inc","22.92","$839.8M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lci",
"LNTH","Lantheus Holdings, Inc.","2.15","$67.66M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/lnth",
"LTRX","Lantronix, Inc.","1.03","$15.68M","2000","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ltrx",
"LPSB","LaPorte Bancorp, Inc.","14.61","$81.37M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/lpsb",
"LPI","Laredo Petroleum, Inc.","7.43","$1.59B","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lpi",
"LVS","Las Vegas Sands Corp.","48.97","$38.92B","2004","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/lvs",
"LHO","LaSalle Hotel Properties","25.41","$2.87B","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lho",
"LHO^H","LaSalle Hotel Properties","25.392","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lho^h",
"LHO^I","LaSalle Hotel Properties","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lho^i",
"LFL","LATAM Airlines Group S.A.","6.69","$3.65B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/lfl",
"LAQ","Latin America Equity Fund, Inc. (The)","17.2","$128.11M","1991","n/a","n/a","http://www.nasdaq.com/symbol/laq",
"LDF","Latin American Discovery Fund, Inc. (The)","8.27","$56.47M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ldf",
"LSCC","Lattice Semiconductor Corporation","5.83","$687.39M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/lscc",
"LAWS","Lawson Products, Inc.","17.94","$157.35M","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/laws",
"LAYN","Layne Christensen Company","6.8","$134.63M","1992","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/layn",
"LGI","Lazard Global Total Return and Income Fund","12.21","$117.28M","2004","n/a","n/a","http://www.nasdaq.com/symbol/lgi",
"LAZ","Lazard Ltd.","37.05","$4.81B","2005","Finance","Investment Managers","http://www.nasdaq.com/symbol/laz",
"LOR","Lazard World Dividend & Income Fund, Inc.","8.7","$59.86M","2005","n/a","n/a","http://www.nasdaq.com/symbol/lor",
"LZB","La-Z-Boy Incorporated","25.29","$1.26B","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/lzb",
"LCNB","LCNB Corporation","16.24","$160.84M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lcnb",
"LDRH","LDR Holding Corporation","22.41","$654.63M","2013","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ldrh",
