"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NBR","Nabors Industries Ltd.","8.04","$2.66B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NBRV","Nabriva Therapeutics AG","8.76","$185.37M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nbrv",
"NC","NACCO Industries, Inc.","47.88","$327.17M","n/a","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/nc",
"NAKD","Naked Brand Group Inc.","2.46","$4.32M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/nakd",
"NTP","Nam Tai Property Inc.","6.13","$261.25M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/ntp",
"NNDM","Nano Dimension Ltd.","6.9","$44.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nndm",
"NANO","Nanometrics Incorporated","14.35","$348.67M","1984","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nano",
"NSPH","Nanosphere, Inc.","0.91","$11.07M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nsph",
"NSTG","NanoString Technologies, Inc.","16.47","$321.28M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/nstg",
"NNVC","NanoViricides, Inc.","2.46","$142.24M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nnvc",
"NK","NantKwest, Inc.","9.15","$743.17M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/nk",
"NSSC","NAPCO Security Technologies, Inc.","6.28","$118.21M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/nssc",
"NDAQ","Nasdaq, Inc.","64.87","$10.63B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ndaq",
"NTRA","Natera, Inc.","9.5","$474.96M","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ntra",
"NATH","Nathan&#39;s Famous, Inc.","45.41","$197.48M","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nath",
"NAUH","National American University Holdings, Inc.","1.53","$36.91M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/nauh",
"NBHC","National Bank Holdings Corporation","19.84","$601.7M","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/nbhc",
"NKSH","National Bankshares, Inc.","32.84","$228.43M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/nksh",
"FIZZ","National Beverage Corp.","39.05","$1.81B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fizz",
"NCMI","National CineMedia, Inc.","14.645","$918.81M","2007","Consumer Services","Advertising","http://www.nasdaq.com/symbol/ncmi",
"NCOM","National Commerce Corporation","21.27","$229.24M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/ncom",
"NFG","National Fuel Gas Company","48.61","$4.12B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/nfg",
"NGHC","National General Holdings Corp","20.39","$2.15B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghc",
"NGHCO","National General Holdings Corp","25.16","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghco",
"NGHCP","National General Holdings Corp","25.0601","$55.13M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghcp",
"NGHCZ","National General Holdings Corp","23.69","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghcz",
"NGG","National Grid Transco, PLC","68.03","$51.26B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ngg",
"NHI","National Health Investors, Inc.","63.63","$2.44B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nhi",
"NHC","National HealthCare Corporation","63.37","$950.91M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/nhc",
"NHLD","National Holdings Corporation","2.35","$29.23M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/nhld",
"NATI","National Instruments Corporation","29.76","$3.8B","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nati",
"NATL","National Interstate Corporation","29.82","$593.47M","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/natl",
"NOV","National Oilwell Varco, Inc.","31.5","$11.84B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nov",
"NPBC","National Penn Bancshares, Inc.","11.51","$1.62B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/npbc",
"NPK","National Presto Industries, Inc.","79.8","$553.27M","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/npk",
"NRCIA","National Research Corporation","14.6","$354.83M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcia",
"NRCIB","National Research Corporation","35.26","$856.94M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcib",
"NNN","National Retail Properties","44.12","$6.22B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nnn",
"NNN^D","National Retail Properties","26.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nnn^d",
