"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OIIM","O2Micro International Limited","1.47","$37.59M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oiim",
"OVLY","Oak Valley Bancorp (CA)","9.22","$74.48M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovly",
"OAK","Oaktree Capital Group, LLC","47.93","$7.37B","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/oak",
"OAS","Oasis Petroleum Inc.","6.02","$1.09B","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oas",
"OASM","Oasmia Pharmaceutical AB","3.079","$107.64M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/oasm",
"OXY","Occidental Petroleum Corporation","66.4","$50.72B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oxy",
"OBCI","Ocean Bio-Chem, Inc.","2.42","$21.74M","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/obci",
"OPTT","Ocean Power Technologies, Inc.","2.07","$3.8M","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/optt",
"ORIG","Ocean Rig UDW Inc.","1.44","$199.68M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/orig",
"OSHC","Ocean Shore Holding Co.","16.8","$107.58M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/oshc",
"OII","Oceaneering International, Inc.","29.03","$2.84B","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/oii",
"OCFC","OceanFirst Financial Corp.","17.54","$303.09M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ocfc",
"OCRX","Ocera Therapeutics, Inc.","3.45","$70.74M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocrx",
"OZM","Och-Ziff Capital Management Group LLC","4.39","$2.1B","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/ozm",
"OCIP","OCI Partners LP","6.79","$590.71M","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ocip",
"OCLR","Oclaro, Inc.","4","$444.18M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oclr",
"OFED","Oconee Federal Financial Corp.","20.05","$117.9M","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ofed",
"OCUL","Ocular Therapeutix, Inc.","8.9","$220.13M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocul",
"OCLS","Oculus Innovative Sciences, Inc.","1.09","$19.1M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ocls",
"OCLSW","Oculus Innovative Sciences, Inc.","0.32","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/oclsw",
"OCN","Ocwen Financial Corporation","2.67","$330.69M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ocn",
"OMEX","Odyssey Marine Exploration, Inc.","4.8","$249432","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/omex",
"ODP","Office Depot, Inc.","5.21","$2.86B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/odp",
"OFG","OFG Bancorp","6.88","$301.81M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ofg",
"OFG^A","OFG Bancorp","17.77","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ofg^a",
"OFG^B","OFG Bancorp","18.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofg^b",
"OFG^D","OFG Bancorp","18.42","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofg^d",
"OFS","OFS Capital Corporation","11.66","$112.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofs",
"OGE","OGE Energy Corporation","26.2","$5.23B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/oge",
"OHAI","OHA Investment Corporation","3.11","$62.74M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ohai",
"OVBC","Ohio Valley Banc Corp.","22.4001","$92.24M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovbc",
"OHRP","Ohr Pharmaceuticals, Inc.","3.38","$106.34M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ohrp",
"OIBR","Oi S.A.","0.32","$224.16M","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/oibr",
"OIBR.C","Oi S.A.","n/a","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/oibr.c",
"OIS","Oil States International, Inc.","28.77","$1.48B","2001","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/ois",
"ODC","Oil-Dri Corporation Of America","37.75","$273.47M","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/odc",
"ODFL","Old Dominion Freight Line, Inc.","67.34","$5.64B","1991","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/odfl",
"OLBK","Old Line Bancshares, Inc.","18.05","$190.15M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/olbk",
"ONB","Old National Bancorp","11.83","$1.35B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/onb",
"OPOF","Old Point Financial Corporation","19.14","$94.92M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/opof",
"ORI","Old Republic International Corporation","18.01","$4.72B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ori",
