"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PFIN","P & F Industries, Inc.","10.6","$38.34M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/pfin",
"PTSI","P.A.M. Transportation Services, Inc.","30.92","$219.99M","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ptsi",
"PCAR","PACCAR Inc.","52.32","$18.38B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/pcar",
"PACE","Pace Holdings Corp.","9.75","$548.44M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/pace",
"PACEU","Pace Holdings Corp.","9.96","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/paceu",
"PACEW","Pace Holdings Corp.","0.5","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/pacew",
"PHF","Pacholder High Yield Fund, Inc.","6.2","$80.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/phf",
"PAI","Pacific American Income Shares, Inc.","12.97","$122.72M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pai",
"PACB","Pacific Biosciences of California, Inc.","8.54","$657.93M","2010","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/pacb",
"PBM","Pacific Booker Minerals Inc","1.01","$12.77M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pbm",
"ROYT","Pacific Coast Oil Trust","1.36","$52.47M","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/royt",
"PCBK","Pacific Continental Corporation (Ore)","15.83","$310.15M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pcbk",
"PACD","Pacific Drilling S.A.","0.5602","$118.32M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pacd",
"PEIX","Pacific Ethanol, Inc.","4.255","$180.92M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/peix",
"PCG^A","Pacific Gas & Electric Co.","29.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","27.5152","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","25.6501","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","25.14","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","24.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","23.893","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^i",
"PCG","Pacific Gas & Electric Co.","56.94","$28.06B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/pcg",
"PMBC","Pacific Mercantile Bancorp","6.9","$157.38M","2000","Finance","Major Banks","http://www.nasdaq.com/symbol/pmbc",
"PPBI","Pacific Premier Bancorp Inc","21.39","$460.11M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ppbi",
"PAAC","Pacific Special Acquisition Corp.","9.98","$77.04M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/paac",
"PAACR","Pacific Special Acquisition Corp.","0.1312","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/paacr",
"PAACU","Pacific Special Acquisition Corp.","10.086","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/paacu",
"PAACW","Pacific Special Acquisition Corp.","0.077","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/paacw",
"PSUN","Pacific Sunwear of California, Inc.","0.2138","$14.99M","1999","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/psun",
"PCRX","Pacira Pharmaceuticals, Inc.","50.13","$1.86B","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pcrx",
"PKG","Packaging Corporation of America","52.62","$4.96B","2000","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/pkg",
"PACW","PacWest Bancorp","35.12","$4.22B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pacw",
"PTIE","Pain Therapeutics","1.99","$91.05M","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptie",
"PTN","Palatin Technologies, Inc.","0.485","$32.99M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptn",
"PANW","Palo Alto Networks, Inc.","152.63","$13.49B","2012","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/panw",
"PAM","Pampa Energia S.A.","20.03","$1.05B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pam",
"PAAS","Pan American Silver Corp.","10.03","$1.52B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/paas",
"P","Pandora Media, Inc.","10.42","$2.37B","2011","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/p",
"PNRA","Panera Bread Company","210.93","$5.14B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/pnra",
"PANL","Pangaea Logistics Solutions Ltd.","2.3","$82.66M","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/panl",
"PHX","Panhandle Royalty Company","17.56","$291.12M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/phx",
"PZZA","Papa John&#39;S International, Inc.","56.3","$2.12B","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/pzza",
"FRSH","Papa Murphy&#39;s Holdings, Inc.","10.69","$181.19M","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frsh",
"PARR","Par Pacific Holdings, Inc.","18.27","$685.69M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr",
"PAR","PAR Technology Corporation","6.33","$109.25M","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/par",
