"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"QTWO","Q2 Holdings, Inc.","20.92","$815.04M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qtwo",
"QADA","QAD Inc.","19.75","$370.71M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qada",
"QADB","QAD Inc.","16.5","$309.7M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qadb",
"QCRH","QCR Holdings, Inc.","23.37","$274.39M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/qcrh",
"QEP","QEP Resources, Inc.","10.4","$1.84B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qep",
"QGEN","Qiagen N.V.","21.75","$5.07B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/qgen",
"QIHU","Qihoo 360 Technology Co. Ltd.","74.69","$9.63B","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/qihu",
"QIWI","QIWI plc","11.23","$612.68M","2013","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qiwi",
"QKLS","QKL Stores, Inc.","0.51","$776386.26","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/qkls",
"QLIK","Qlik Technologies Inc.","25.76","$2.4B","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlik",
"QLGC","QLogic Corporation","12.76","$1.06B","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/qlgc",
"QLTI","QLT Inc.","2.32","$122.56M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/qlti",
"QRVO","Qorvo, Inc.","47.09","$6.46B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/qrvo",
"QTS","QTS Realty Trust, Inc.","45.27","$1.87B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/qts",
"QUAD","Quad Graphics, Inc","12.91","$644.54M","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/quad",
"KWR","Quaker Chemical Corporation","81.78","$1.08B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kwr",
"QCOM","QUALCOMM Incorporated","52.46","$78.42B","1991","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/qcom",
"QSII","Quality Systems, Inc.","15","$913.29M","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/qsii",
"QBAK","Qualstar Corporation","0.51","$6.25M","2000","Technology","Electronic Components","http://www.nasdaq.com/symbol/qbak",
"QLYS","Qualys, Inc.","25.44","$875.96M","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlys",
"NX","Quanex Building Products Corporation","16.71","$567.66M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/nx",
"PWR","Quanta Services, Inc.","22","$3.36B","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/pwr",
"QTM","Quantum Corporation","0.54","$142.69M","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/qtm",
"QTWW","Quantum Fuel Systems Technologies Worldwide, Inc.","0.74","$20.74M","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/qtww",
"DGX","Quest Diagnostics Incorporated","68.43","$9.77B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/dgx",
"QRHC","Quest Resource Holding Corporation.","0.68","$75.97M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/qrhc",
"STR","Questar Corporation","24.9","$4.36B","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/str",
"QUIK","QuickLogic Corporation","1.37","$77.54M","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/quik",
"QDEL","Quidel Corporation","16.32","$526.67M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/qdel",
"QPAC","Quinpario Acquisition Corp. 2","9.85","$430.94M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/qpac",
"QPACU","Quinpario Acquisition Corp. 2","9.9","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/qpacu",
"QPACW","Quinpario Acquisition Corp. 2","0.24","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/qpacw",
"QNST","QuinStreet, Inc.","3.06","$138.41M","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qnst",
"Q","Quintiles Transitional Holdings Inc.","65.65","$7.84B","2013","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/q",
