"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RRD","R.R. Donnelley & Sons Company","15.63","$3.26B","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/rrd",
"RAX","Rackspace Hosting, Inc","20.94","$2.74B","2008","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rax",
"RADA","Rada Electronics Industries Limited","0.4292","$6.82M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/rada",
"RDCM","Radcom Ltd.","14.28","$122.64M","1997","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/rdcm",
"RDN","Radian Group Inc.","11.77","$2.32B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rdn",
"RLGT^A","Radiant Logistics, Inc.","23.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlgt^a",
"RLGT","Radiant Logistics, Inc.","3.17","$154.52M","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rlgt",
"ROIA","Radio One, Inc.","1.37","$68.35M","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/roia",
"ROIAK","Radio One, Inc.","1.28","$63.86M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/roiak",
"RSYS","RadiSys Corporation","2.85","$105.21M","1995","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/rsys",
"RDUS","Radius Health, Inc.","32.09","$1.38B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdus",
"RDNT","RadNet, Inc.","5.95","$274.42M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/rdnt",
"RDWR","Radware Ltd.","11.38","$515.47M","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rdwr",
"RAS","RAIT Financial Trust","2.74","$249.98M","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ras",
"RAS^A","RAIT Financial Trust","16.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^a",
"RAS^B","RAIT Financial Trust","16.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^b",
"RAS^C","RAIT Financial Trust","18.314","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^c",
"RFT","RAIT Financial Trust","19.2","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rft",
"RFTA","RAIT Financial Trust","22.06","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rfta",
"RL","Ralph Lauren Corporation","97.12","$8.16B","1997","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/rl",
"RMBS","Rambus, Inc.","12.99","$1.42B","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/rmbs",
"RPT","Ramco-Gershenson Properties Trust","16.83","$1.33B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rpt",
"RPT^D","Ramco-Gershenson Properties Trust","62.3567","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rpt^d",
"RAND","Rand Capital Corporation","4.09","$25.88M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rand",
"RLOG","Rand Logistics, Inc.","0.98","$17.92M","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/rlog",
"GOLD","Randgold Resources Limited","88.74","$8.27B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gold",
"RRC","Range Resources Corporation","29.9","$5.07B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rrc",
"RPD","Rapid7, Inc.","15.14","$629.73M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/rpd",
"RPTP","Raptor Pharmaceutical Corp.","3.99","$340.12M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rptp",
"RAVE","Rave Restaurant Group, Inc.","5.2","$53.63M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/rave",
"RAVN","Raven Industries, Inc.","16.18","$590.66M","n/a","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ravn",
"RJD","Raymond James Financial, Inc.","26.981","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjd",
"RJF","Raymond James Financial, Inc.","45.4","$6.41B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjf",
"RYAM","Rayonier Advanced Materials Inc.","8.65","$370.83M","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ryam",
"RYN","Rayonier Inc.","22.55","$2.77B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ryn",
"RTN","Raytheon Company","122.55","$36.64B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rtn",
