"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"STBA","S&T Bancorp, Inc.","25.81","$898.46M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/stba",
"SANW","S&W Seed Company","4.77","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/sanw",
"SBR","Sabine Royalty Trust","32.25","$470.18M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sbr",
"SBRA","Sabra Healthcare REIT, Inc.","20.91","$1.36B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbra",
"SBRAP","Sabra Healthcare REIT, Inc.","25.4","$146.05M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbrap",
"SABR","Sabre Corporation","27.79","$7.65B","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/sabr",
"SAEX","SAExploration Holdings, Inc.","0.96","$16.67M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SB","Safe Bulkers, Inc","0.8186","$68.37M","2008","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sb",
"SB^B","Safe Bulkers, Inc","23.49","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sb^b",
"SB^C","Safe Bulkers, Inc","10.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sb^c",
"SB^D","Safe Bulkers, Inc","10.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sb^d",
"SFE","Safeguard Scientifics, Inc.","12.19","$251.72M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/sfe",
"SAFT","Safety Insurance Group, Inc.","55.24","$833.69M","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/saft",
"SGA","Saga Communications, Inc.","39.6","$230.14M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sga",
"SAGE","Sage Therapeutics, Inc.","34.25","$1.1B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sage",
"SGNT","Sagent Pharmaceuticals, Inc.","13.1","$429.51M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sgnt",
"SAIA","Saia, Inc.","26.12","$657.87M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/saia",
"SAJA","Sajan, Inc.","3.27","$15.64M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/saja",
"SALM","Salem Media Group, Inc.","4.85","$123.49M","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/salm",
"CRM","Salesforce.com Inc","69.82","$46.36B","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/crm",
"SMM","Salient Midstream & MLP Fund","7.55","$71.72M","2012","n/a","n/a","http://www.nasdaq.com/symbol/smm",
"SAL","Salisbury Bancorp, Inc.","33.01","$90.24M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sal",
"SBH","Sally Beauty Holdings, Inc.","30.77","$4.5B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/sbh",
"SSN","Samson Oil & Gas Limited","0.9532","$13.53M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SJT","San Juan Basin Royalty Trust","4.96","$231.18M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sjt",
"SN","Sanchez Energy Corporation","4.57","$285.99M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sn",
"SPP","Sanchez Production Partners LP","13.39","$40.82M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/spp",
"SAFM","Sanderson Farms, Inc.","91.21","$2.06B","1987","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/safm",
"SNDK","SanDisk Corporation","76","$15.28B","1995","Technology","Electronic Components","http://www.nasdaq.com/symbol/sndk",
"SDT","SandRidge Mississippian Trust I","2.73","$76.44M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdt",
"SDR","SandRidge Mississippian Trust II","1.83","$91M","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdr",
"PER","SandRidge Permian Trust","2.85","$149.63M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/per",
"SAND          ","Sandstorm Gold Ltd","2.995","$413.1M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sand          ",
"SASR","Sandy Spring Bancorp, Inc.","27.18","$662.15M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sasr",
"SGMO","Sangamo BioSciences, Inc.","6.11","$429.95M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/sgmo",
"SANM","Sanmina Corporation","21.07","$1.63B","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/sanm",
"GCVRZ","Sanofi","0.087","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gcvrz",
"SNY","Sanofi","39.99","$104.86B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sny",
"SC","Santander Consumer USA Holdings Inc.","10.47","$3.75B","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/sc",
"SOV^C","Santander Holdings USA, Inc.","25.7101","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sov^c",
"SAP","SAP SE","76.34","$91.24B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sap",
"SPNS","Sapiens International Corporation N.V.","11.18","$535.87M","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/spns",
"SAQ","Saratoga Investment Corp","24.76","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/saq",
"SAR","Saratoga Investment Corp","14.16","$80.64M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sar",
"SRPT","Sarepta Therapeutics, Inc.","14.44","$659.42M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/srpt",
"SSL","Sasol Ltd.","31.5","$20.6B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssl",
"BFS","Saul Centers, Inc.","51.5","$1.09B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bfs",
"BFS^C","Saul Centers, Inc.","26.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfs^c",
"SBFG","SB Financial Group, Inc.","10.08","$49.57M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfg",
"SBFGP","SB Financial Group, Inc.","11.62","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfgp",
"SBAC","SBA Communications Corporation","93.53","$11.72B","1999","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/sbac",
"SCG","Scana Corporation","66.16","$9.46B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/scg",
"SCSC","ScanSource, Inc.","38.52","$1.01B","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/scsc",
"SLB","Schlumberger N.V.","72.7","$91.34B","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/slb",
"SMIT","Schmitt Industries, Inc.","2.27","$6.8M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/smit",
"SCHN","Schnitzer Steel Industries, Inc.","15.84","$423.65M","1993","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/schn",
"SCHL","Scholastic Corporation","35.02","$1.2B","1992","Consumer Services","Books","http://www.nasdaq.com/symbol/schl",
"SWM","Schweitzer-Mauduit International, Inc.","29.55","$902.5M","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/swm",
