"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TROW","T. Rowe Price Group, Inc.","71.97","$17.86B","1986","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/trow",
"TTOO","T2 Biosystems, Inc.","8.95","$182.44M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ttoo",
"DATA","Tableau Software, Inc.","43.64","$3.24B","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/data",
"TAHO","Tahoe Resources, Inc.","9.24","$2.1B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/taho",
"TLRD","Tailored Brands, Inc.","16.91","$818.11M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tlrd",
"TAIT","Taitron Components Incorporated","0.95","$5.26M","1995","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/tait",
"TWN","Taiwan Fund, Inc. (The)","15.0701","$123.89M","1986","n/a","n/a","http://www.nasdaq.com/symbol/twn",
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.","24.65","$127.84B","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsm",
"TTWO","Take-Two Interactive Software, Inc.","34.51","$2.93B","1997","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ttwo",
"XRS","TAL Education Group","48.86","$3.9B","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xrs",
"TAL","TAL International Group, Inc.","12.71","$422.67M","2005","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/tal",
"TLN","Talen Energy Corporation","7.61","$978.09M","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tln",
"TEGP","Tallgrass Energy GP, LP","15.15","$2.38B","2015","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tegp",
"TEP","Tallgrass Energy Partners, LP","36.05","$2.42B","2013","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tep",
"TLMR","Talmer Bancorp, Inc.","17.42","$1.16B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/tlmr",
"TNDM","Tandem Diabetes Care, Inc.","9.98","$302.21M","2013","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/tndm",
"TLF","Tandy Leather Factory, Inc.","7.13","$69.54M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/tlf",
"SKT","Tanger Factory Outlet Centers, Inc.","33.85","$3.25B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/skt",
"TNGO","Tangoe, Inc.","7.05","$277.99M","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tngo",
"TANH","Tantech Holdings Ltd.","4.81","$103.9M","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tanh",
"TRX","Tanzanian Royalty Exploration Corporation","0.261","$28.21M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TAOM","Taomee Holdings Limited","3.59","$127.72M","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/taom",
"TEDU","Tarena International, Inc.","10.93","$594.95M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/tedu",
"NGLS^A","Targa Resources Partners LP","21.73","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ngls^a",
"TRGP","Targa Resources, Inc.","27.05","$4.34B","2010","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/trgp",
"TGT","Target Corporation","80.53","$49.61B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/tgt",
"TARO","Taro Pharmaceutical Industries Ltd.","137.5","$5.89B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/taro",
"TGB","Taseko Mines Limited","0.4617","$102.41M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgb",
"TASR","TASER International, Inc.","19.54","$1.05B","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/tasr",
"TATT","TAT Technologies Ltd.","6.99","$61.57M","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/tatt",
"TTM","Tata Motors Ltd","25.18","$12.82B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/ttm",
"TCO","Taubman Centers, Inc.","72.71","$4.38B","1992","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/tco",
"TCO^J","Taubman Centers, Inc.","25.9411","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tco^j",
"TCO^K","Taubman Centers, Inc.","26.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tco^k",
"TAYD","Taylor Devices, Inc.","13.5101","$45.9M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tayd",
"TMHC","Taylor Morrison Home Corporation","13.8","$1.67B","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tmhc",
"TCP","TC PipeLines, LP","48.98","$3.24B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tcp",
"TCB","TCF Financial Corporation","12.06","$2.06B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/tcb",
"TCB.WS","TCF Financial Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcb.ws",
"TCB^B","TCF Financial Corporation","25.7579","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcb^b",
"TCB^C","TCF Financial Corporation","25.43","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcb^c",
"TCPC","TCP Capital Corp.","14","$681.92M","2012","n/a","n/a","http://www.nasdaq.com/symbol/tcpc",
