"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"USCR","U S Concrete, Inc.","53.01","$776.85M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/uscr",
"PRTS","U.S. Auto Parts Network, Inc.","2.9","$98.83M","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prts",
"USB","U.S. Bancorp","39.85","$69.23B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb",
"USB^A","U.S. Bancorp","770","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb^a",
"USB^H","U.S. Bancorp","21.7921","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^h",
"USB^M","U.S. Bancorp","29.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^m",
"USB^N","U.S. Bancorp","26.46","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^n",
"USB^O","U.S. Bancorp","25.67","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^o",
"USEG","U.S. Energy Corp.","0.38","$10.77M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/useg",
"HTM","U.S. Geothermal Inc.","0.61","$65.64M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/htm",
"GROW","U.S. Global Investors, Inc.","1.6","$24.46M","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/grow",
"USPH","U.S. Physical Therapy, Inc.","51.34","$637.7M","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/usph",
"SLCA","U.S. Silica Holdings, Inc.","19.1","$1.02B","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/slca",
"UBIC","UBIC, Inc.","16.22","$289.94M","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/ubic",
"UBNT","Ubiquiti Networks, Inc.","32.49","$2.7B","2011","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/ubnt",
"UBS","UBS AG","16.25","$60.98B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/ubs",
"UBS^D","UBS AG","16.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubs^d",
"UCP","UCP, Inc.","6.21","$49.77M","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ucp",
"UFPT","UFP Technologies, Inc.","22.86","$163.18M","1993","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/ufpt",
"UGI","UGI Corporation","38.47","$6.61B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ugi",
"ULTA","Ulta Salon, Cosmetics & Fragrance, Inc.","162.96","$10.38B","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ulta",
"UCTT","Ultra Clean Holdings, Inc.","5.06","$163.21M","2004","Technology","Semiconductors","http://www.nasdaq.com/symbol/uctt",
"UPL","Ultra Petroleum Corp.","0.74","$113.41M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/upl",
"RARE","Ultragenyx Pharmaceutical Inc.","61.9","$2.41B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rare",
"ULBI","Ultralife Corporation","5.15","$78.38M","1992","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ulbi",
"UGP","Ultrapar Participacoes S.A.","17.45","$9.71B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ugp",
"ULTR","Ultrapetrol (Bahamas) Limited","0.2","$28.15M","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ultr",
"UTEK","Ultratech, Inc.","19.49","$516.92M","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/utek",
"UMBF","UMB Financial Corporation","50.72","$2.51B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/umbf",
"UMH","UMH Properties, Inc.","9.64","$260.39M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/umh",
"UMH^A","UMH Properties, Inc.","25.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/umh^a",
"UMH^B","UMH Properties, Inc.","26.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/umh^b",
"UMPQ","Umpqua Holdings Corporation","15.62","$3.44B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/umpq",
"UA","Under Armour, Inc.","81.3","$17.57B","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ua",
"UNAM","Unico American Corporation","9.9503","$53.03M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/unam",
"UFI","Unifi, Inc.","23.28","$415.31M","n/a","Consumer Non-Durables","Textiles","http://www.nasdaq.com/symbol/ufi",
"UNF","Unifirst Corporation","107.48","$2.16B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/unf",
"UN","Unilever NV","43.66","$132.07B","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/un",
"UL","Unilever PLC","44.13","$133.49B","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ul",
"UNIS","Unilife Corporation","0.9156","$152.53M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/unis",
"UBSH","Union Bankshares Corporation","23.53","$1.04B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ubsh",
"UNB","Union Bankshares, Inc.","28.67","$127.79M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/unb",
"UNP","Union Pacific Corporation","78.25","$66.23B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/unp",
"UNXL","Uni-Pixel, Inc.","0.61","$11.93M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/unxl",
"UFAB","Unique Fabricating, Inc.","11.19","$107.33M","2015","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ufab",
"QURE","uniQure N.V.","13.82","$334.6M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/qure",
"UIS","Unisys Corporation","11.03","$550.91M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/uis",
"UNT","Unit Corporation","9.29","$474M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/unt",
"UBCP","United Bancorp, Inc.","9.09","$48.88M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ubcp",
"UBOH","United Bancshares, Inc.","18.81","$62.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/uboh",
"UBSI","United Bankshares, Inc.","36.63","$2.55B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ubsi",
"UCBA","United Community Bancorp","13.74","$57.73M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ucba",
"UCBI","United Community Banks, Inc.","18.46","$1.32B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ucbi",
"UCFC","United Community Financial Corp.","5.94","$282.89M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/ucfc",
"UAL","United Continental Holdings, Inc.","56.34","$20.25B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ual",
"UDF","United Development Funding IV","3.2","$98.15M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/udf",
"UDR","United Dominion Realty Trust, Inc.","35.38","$9.27B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/udr",
"UBNK","United Financial Bancorp, Inc.","12","$594.49M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/ubnk",
"UFCS","United Fire Group, Inc","41.01","$1.03B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ufcs",
"UIHC","United Insurance Holdings Corp.","17.89","$385.13M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/uihc",
"UMC","United Microelectronics Corporation","2.06","$5.2B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/umc",
"UNFI","United Natural Foods, Inc.","38.79","$1.95B","1996","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/unfi",
"UNTD","United Online, Inc.","12","$177.82M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/untd",
"UPS","United Parcel Service, Inc.","100.62","$88.99B","1999","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ups",
"URI","United Rentals, Inc.","56.84","$5.17B","1997","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/uri",
