"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XTLY","Xactly Corporation","6.6","$192.62M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xtly",
"XBIT","XBiotech Inc.","8.27","$266.17M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xbit",
"XELB","Xcel Brands, Inc","5.1","$94.04M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/xelb",
"XEL","Xcel Energy Inc.","40.66","$20.64B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
"XCRA","Xcerra Corporation","5.74","$311.83M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xcra",
"XNCR","Xencor, Inc.","12.83","$519.32M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xncr",
"XHR","Xenia Hotels & Resorts, Inc.","15.72","$1.76B","2015","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/xhr",
"XBKS","Xenith Bankshares, Inc.","7.4","$96.12M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XENE","Xenon Pharmaceuticals Inc.","7.33","$105.38M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xene",
"XNPT","XenoPort, Inc.","4.35","$276.03M","2005","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xnpt",
"XRM","Xerium Technologies, Inc.","8.17","$128.59M","2005","Basic Industries","Textiles","http://www.nasdaq.com/symbol/xrm",
"XRX","Xerox Corporation","10.25","$10.38B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"XGTI","XG Technology, Inc","0.12","$1.72M","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgti",
"XGTIW","XG Technology, Inc","0.0451","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgtiw",
"XLNX","Xilinx, Inc.","45.95","$11.74B","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"XIN","Xinyuan Real Estate Co Ltd","3.97","$291.91M","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/xin",
"XL","XL Group plc","35.26","$10.29B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/xl",
"XOXO","XO Group, Inc.","15.04","$394.92M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xoxo",
"XOMA","XOMA Corporation","0.88","$104.56M","1986","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xoma",
"XPLR","Xplore Technologies Corp","3.89","$42.43M","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XPO","XPO Logistics, Inc.","25.18","$2.76B","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/xpo",
"XTNT","Xtant Medical Holdings, Inc.","3.017","$35.86M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xtnt",
"XCOM","Xtera Communications, Inc.","3.28","$56.27M","2015","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/xcom",
"XTLB","XTL Biopharmaceuticals Ltd.","1.35","$18.46M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xtlb",
"XUE","Xueda Education Group","5.39","$335.95M","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xue",
"XNET","Xunlei Limited","5.86","$395.6M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xnet",
"MESG","Xura, Inc.","20.85","$521.31M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mesg",
"XYL","Xylem Inc.","37.91","$6.77B","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/xyl",
