"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"YDKN","Yadkin Financial Corporation","22.81","$723.52M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ydkn",
"YHOO","Yahoo! Inc.","32.93","$31.18B","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/yhoo",
"AUY","Yamana Gold Inc.","3.12","$2.96B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/auy",
"YNDX","Yandex N.V.","13.72","$4.38B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/yndx",
"YZC","Yanzhou Coal Mining Company Limited","5.23","$2.57B","1998","Energy","Coal Mining","http://www.nasdaq.com/symbol/yzc",
"YELP","Yelp Inc.","21.1","$1.6B","2012","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/yelp",
"YGE","Yingli Green Energy Holding Company Limited","4.75","$8.63M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/yge",
"YRD","Yirendai Ltd.","5.83","$341.06M","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/yrd",
"YOD","You On Demand Holdings, Inc.","1.66","$39.89M","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/yod",
"YOKU","Youku Tudou Inc.","27.44","$5.37B","2010","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/yoku",
"YCB","Your Community Bankshares, Inc.","32.99","$178.37M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ycb",
"YPF","YPF Sociedad Anonima","18.4","$7.24B","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
"YRCW","YRC Worldwide, Inc.","8.94","$291.55M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/yrcw",
"YECO","Yulong Eco-Materials Limited","3.9","$46.79M","2015","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/yeco",
"YUM","Yum! Brands, Inc.","76.68","$31.34B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/yum",
"YUMA^A","Yuma Energy, Inc.","3.61","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/yuma^a",
"YUMA","Yuma Energy, Inc.","0.235","$16.84M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
"YUME","YuMe, Inc.","4.01","$138.06M","2013","Technology","Advertising","http://www.nasdaq.com/symbol/yume",
"YY","YY Inc.","54.8","$3B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/yy",
