"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ZFGN","Zafgen, Inc.","6.49","$176.75M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","10.45","$289.09M","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/zagg",
"ZFC","ZAIS Financial Corp.","14.66","$116.85M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/zfc",
"ZAIS","ZAIS Group Holdings, Inc.","5.27","$74.15M","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/zais",
"ZAYO","Zayo Group Holdings, Inc.","24.27","$5.92B","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zayo",
"ZBRA","Zebra Technologies Corporation","63.53","$3.31B","1991","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/zbra",
"ZLTQ","ZELTIQ Aesthetics, Inc.","23.24","$906.96M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/zltq",
"ZEN","Zendesk, Inc.","20.01","$1.81B","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/zen",
"ZPIN","Zhaopin Limited","15.41","$962.22M","2014","Technology","Professional Services","http://www.nasdaq.com/symbol/zpin",
"ZHNE","Zhone Technologies, Inc.","1.28","$42.82M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zhne",
"Z","Zillow Group, Inc.","24.27","$4.33B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","25.59","$4.57B","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/zg",
"ZBH","Zimmer Biomet Holdings, Inc.","100.55","$19.99B","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/zbh",
"ZN","Zion Oil & Gas Inc","1.87","$71.09M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/znwaa",
"ZB^A","Zions Bancorporation","21.4501","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^a",
"ZB^F","Zions Bancorporation","26.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^f",
"ZB^G","Zions Bancorporation","25.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^g",
"ZB^H","Zions Bancorporation","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^h",
"ZBK","Zions Bancorporation","27.43","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zbk",
"ZION","Zions Bancorporation","23.68","$4.84B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zion",
"ZIONW","Zions Bancorporation","1.9123","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionw",
"ZIONZ","Zions Bancorporation","0.97","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionz",
"ZIOP","ZIOPHARM Oncology Inc","8.9","$1.17B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ziop",
"ZIXI","Zix Corporation","4.09","$226.91M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/zixi",
"ZOES","Zoe&#39;s Kitchen, Inc.","38.2","$740.53M","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/zoes",
"ZTS","Zoetis Inc.","40.23","$20B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zts",
"ZGNX","Zogenix, Inc.","9.98","$247.11M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zgnx",
"ZSAN","Zosano Pharma Corporation","2.7","$32.31M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zsan",
"ZUMZ","Zumiez Inc.","21.25","$567.07M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/zumz",
"ZF","Zweig Fund, Inc. (The)","12.45","$257.41M","1986","n/a","n/a","http://www.nasdaq.com/symbol/zf",
"ZTR","Zweig Total Return Fund, Inc. (The)","11.74","$406.71M","1988","n/a","n/a","http://www.nasdaq.com/symbol/ztr",
"ZYNE","Zynerba Pharmaceuticals, Inc.","8.02","$73.78M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zyne",
"ZNGA","Zynga Inc.","2.19","$1.89B","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/znga",
