"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CFFI","C&F Financial Corporation","39","$134.59M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cffi",
"CJES","C&J Energy Services, Ltd.","1.71","$205.55M","2015","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"CHRW","C.H. Robinson Worldwide, Inc.","72.63","$10.4B","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"BCR","C.R. Bard, Inc.","195.07","$14.38B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"BNK","C1 Financial, Inc.","24.18","$389.32M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/bnk",
"CA","CA Inc.","30.54","$12.73B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"GYB","CABCO Series 2004-101 Trust","20.06","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","19.21","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CAB","Cabela&#39;s Inc","48.59","$3.3B","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CABO","Cable One, Inc.","436.91","$2.52B","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CVC","Cablevision Systems Corporation","32.89","$9.1B","1986","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cvc",
"CBT","Cabot Corporation","48.47","$3.02B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"CCMP","Cabot Microelectronics Corporation","40.06","$969.28M","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"COG","Cabot Oil & Gas Corporation","21.96","$9.09B","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CACI","CACI International, Inc.","100.27","$2.43B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CDNS","Cadence Design Systems, Inc.","22.54","$6.88B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CDZI","Cadiz, Inc.","5.12","$91.5M","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"CAE","CAE Inc","11.33","$3.06B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CACQ","Caesars Acquisition Company","5.64","$774.61M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cacq",
"CZR","Caesars Entertainment Corporation","7.45","$1.08B","2012","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"CSTE","CaesarStone Sdot-Yam Ltd.","36.27","$1.28B","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"PRSS","CafePress Inc.","3.57","$60.5M","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prss",
"CAI","CAI International, Inc.","8.91","$177.5M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CLBS","Caladrius Biosciences, Inc.","0.8301","$45.97M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/clbs",
