"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DHI","D.R. Horton, Inc.","29.56","$10.93B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/dhi",
"CB","D/B/A Chubb Limited New","119.95","$55.38B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cb",
"DJCO","Daily Journal Corp. (S.C.)","194.79","$268.96M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/djco",
"DAKP","Dakota Plains Holdings, Inc.","0.154","$8.48M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/dakp",
"DAKT","Daktronics, Inc.","7.61","$334.67M","1994","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/dakt",
"DAN","Dana Holding Corporation","13.01","$1.94B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","90.61","$62.26B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr",
"DAC","Danaos Corporation","4.07","$446.81M","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DQ","DAQO New Energy Corp.","19.04","$170.28M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq",
"DRI","Darden Restaurants, Inc.","67.57","$8.66B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dri",
"DAR","Darling Ingredients Inc.","12.3","$2.02B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/dar",
"DAIO","Data I/O Corporation","2.2779","$18.09M","1981","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"DTLK","Datalink Corporation","7.5","$174.41M","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dtlk",
"DRAM","Dataram Corporation","0.8748","$3.6M","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/dram",
"DWCH","Datawatch Corporation","5.3","$61.84M","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dwch",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","38.01","$1.58B","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","11.47","$275.19M","2015","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/dtea",
"DVA","DaVita healthCare Partners Inc.","71.05","$14.64B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dva",
"DWSN","Dawson Geophysical Company","4.34","$93.62M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"DXR","Daxor Corporation","8.05","$31.11M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr",
"DBVT","DBV Technologies S.A.","30.85","$1.18B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dbvt",
"DPM","DCP Midstream Partners, LP","24.18","$2.77B","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dpm",
"DCT","DCT Industrial Trust Inc","38.14","$3.37B","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dct",
"DDR","DDR Corp.","17.25","$6.3B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ddr",
"DDR^J","DDR Corp.","26","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^j",
"DDR^K","DDR Corp.","26.19","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddr^k",
"DF","Dean Foods Company","19.44","$1.78B","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/df",
"DECK","Deckers Outdoor Corporation","57.69","$1.87B","1993","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/deck",
"DE","Deere & Company","82.95","$26.16B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/de",
"DHRM","Dehaier Medical Systems Limited","1.72","$10.05M","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dhrm",
"DFRG","Del Frisco&#39;s Restaurant Group, Inc.","16.78","$392.66M","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dfrg",
"TACO","Del Taco Restaurants, Inc.","10.69","$414.8M","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/taco",
"TACOW","Del Taco Restaurants, Inc.","2.56","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tacow",
"DEX","Delaware Enhanced Global Dividend","9.11","$144.52M","2007","n/a","n/a","http://www.nasdaq.com/symbol/dex",
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","15.33","$74.15M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vcf",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","8.82","$79.09M","1993","n/a","n/a","http://www.nasdaq.com/symbol/ddf",
"VFL","Delaware Investments Florida Insured Municipal Income Fund","13.45","$60.91M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vfl",
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","14.29","$164.41M","1993","n/a","n/a","http://www.nasdaq.com/symbol/vmm",
"DCTH","Delcath Systems, Inc.","0.336","$7.31M","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dcth",
"DKL","Delek Logistics Partners, L.P.","28.6995","$696.73M","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","15.89","$987.36M","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DLPH","Delphi Automotive plc","70.28","$19.51B","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DAL","Delta Air Lines, Inc.","47.69","$37.13B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DLA","Delta Apparel, Inc.","17.81","$137.98M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla",
"DGAS","Delta Natural Gas Company, Inc.","22.42","$158.61M","1981","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/dgas",
"DELT","Delta Technology Holdings Limited","0.805","$7.7M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/delt",
"DELTW","Delta Technology Holdings Limited","0.056","n/a","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/deltw",
"DEL","Deltic Timber Corporation","57.81","$702.35M","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/del",
"DLX","Deluxe Corporation","60.06","$2.94B","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx",
"DMD","Demand Media Inc.","5.29","$107.13M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/dmd",
"DWRE","DEMANDWARE, INC.","37.39","$1.41B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/dwre",
"DNR","Denbury Resources Inc.","2.4","$841.95M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr",
"DNN","Denison Mine Corp","0.4951","$256.68M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn",
"DENN","Denny&#39;s Corporation","10.18","$783.95M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/denn",
"XRAY","DENTSPLY SIRONA Inc.","63.49","$8.9B","1987","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
"DEPO","Depomed, Inc.","16.22","$987.86M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/depo",
"DSCI","Derma Sciences, Inc.","3.14","$81.03M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dsci",
"DERM","Dermira, Inc.","21.1","$632.43M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/derm",
"DEST","Destination Maternity Corporation","8.42","$116.69M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dest",
"DXLG","Destination XL Group, Inc.","4.89","$248.47M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dxlg",
"DSWL","Deswell Industries, Inc.","1.6198","$26.01M","1995","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/dswl",
"DTRM","Determine, Inc. ","1.92","$21.49M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dtrm",
"DKT","Deutsch Bk Contingent Cap Tr V","25.74","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dkt",
"DB","Deutsche Bank AG","20.62","$28.42B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db",
"DTK","Deutsche Bank AG","24.85","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk",
"DXB","Deutsche Bank AG","23.48","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DVN","Devon Energy Corporation","24.78","$10.94B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"DV","DeVry Education Group Inc.","21.38","$1.35B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dv",
"DXCM","DexCom, Inc.","65.15","$5.33B","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxcm",
"DGSE","DGSE Companies, Inc.","0.5684","$6.99M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse",
"DHX","DHI Group, Inc.","7.8","$405.28M","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DHT","DHT Holdings, Inc.","6.43","$597.41M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DHXM","DHX Media Ltd.","5.34","$167.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dhxm",
"DEO","Diageo plc","107.82","$74.24B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/deo",
"DHIL","Diamond Hill Investment Group, Inc.","179.99","$611.73M","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/dhil",
"DO","Diamond Offshore Drilling, Inc.","22.79","$3.13B","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do",
"DRII","Diamond Resorts International, Inc.","24.53","$1.71B","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/drii",
"FANG","Diamondback Energy, Inc.","78.43","$5.6B","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DRH","Diamondrock Hospitality Company","9.54","$1.92B","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/drh",
"DCIX","Diana Containerships Inc.","0.7","$51.72M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","2.65","$218.75M","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","11.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dsx^b",
"DSXN","Diana Shipping inc.","17.0101","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"DRNA","Dicerna Pharmaceuticals, Inc.","5.47","$112.64M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drna",
"DKS","Dick&#39;s Sporting Goods Inc","46.44","$5.34B","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dks",
"DBD","Diebold, Incorporated","25.39","$1.65B","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"DFBG","Differential Brands Group Inc.","6.25","$77.52M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dfbg",
"DGII","Digi International Inc.","8.66","$223.47M","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","27.85","$252.66M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","4.82","$93.73M","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/drad",
"DGLY","Digital Ally, Inc.","5.31","$27.87M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"DPW","Digital Power Corporation","0.4402","$2.98M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"DLR","Digital Realty Trust, Inc.","85.58","$12.54B","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dlr",
"DLR^E","Digital Realty Trust, Inc.","25.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^e",
"DLR^F","Digital Realty Trust, Inc.","26.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^f",
"DLR^G","Digital Realty Trust, Inc.","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^g",
"DLR^H","Digital Realty Trust, Inc.","27.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^h",
"DLR^I","Digital Realty Trust, Inc.","25.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlr^i",
"APPS","Digital Turbine, Inc.","1.34","$88.54M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/apps",
"DGI","DigitalGlobe, Inc","16","$1.03B","2009","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/dgi",
"DDS","Dillard&#39;s, Inc.","86.99","$3.19B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dds",
