"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ETFC","E*TRADE Financial Corporation","25.41","$7.18B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/etfc",
"DD","E.I. du Pont de Nemours and Company","63.83","$55.64B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd",
"DD^A","E.I. du Pont de Nemours and Company","80.2899","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^a",
"DD^B","E.I. du Pont de Nemours and Company","100","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^b",
"SSP","E.W. Scripps Company (The)","17.92","$1.5B","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ssp",
"EBMT","Eagle Bancorp Montana, Inc.","12.25","$46.27M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","49.7","$1.67B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/egbn",
"EGLE","Eagle Bulk Shipping Inc.","1.39","$53.14M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"GRF","Eagle Capital Growth Fund, Inc.","7.5701","$23.66M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf",
"EGIF","Eagle Growth and Income Opportunities Fund","15.93","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/egif",
"EXP","Eagle Materials Inc","64.18","$3.16B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/exp",
"EGRX","Eagle Pharmaceuticals, Inc.","61.81","$966.49M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/egrx",
"ECC           ","Eagle Point Credit Company Inc.","15.7626","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/ecc           ",
"ECCA","Eagle Point Credit Company Inc.","24.32","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/ecca",
"ECCZ","Eagle Point Credit Company Inc.","24.34","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/eccz",
"ELNK","EarthLink Holdings Corp.","5.86","$608.9M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/elnk",
"ESTE","Earthstone Energy, Inc.","12.4","$171.56M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"EWBC","East West Bancorp, Inc.","32.61","$4.69B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ewbc",
"EACQ","Easterly Acquisition Corp.","9.7","$242.5M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eacq",
"EACQU","Easterly Acquisition Corp.","9.95","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eacqu",
"EACQW","Easterly Acquisition Corp.","0.35","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eacqw",
"DEA","Easterly Government Properties, Inc.","18.05","$436.24M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dea",
"EML","Eastern Company (The)","16","$99.94M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/eml",
"EVBS","Eastern Virginia Bankshares, Inc.","6.89","$89.77M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbs",
"EGP","EastGroup Properties, Inc.","56.92","$1.84B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/egp",
"EMN","Eastman Chemical Company","71.41","$10.56B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/emn",
"KODK.WS.A","Eastman Kodak Company","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kodk.ws.a",
"KODK","Eastman Kodak Company","10.19","$427.89M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kodk",
"KODK.WS","Eastman Kodak Company","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kodk.ws",
"ETN","Eaton Corporation, PLC","60.13","$27.59B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"EVM","Eaton Vance California Municipal Bond Fund","12.59","$269.32M","2002","n/a","n/a","http://www.nasdaq.com/symbol/evm",
"EIA","Eaton Vance California Municipal Bond Fund II","13.2","$51.29M","2002","n/a","n/a","http://www.nasdaq.com/symbol/eia",
"CEV","Eaton Vance California Municipal Income Trust","14.11","$102.36M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cev",
"ETV","Eaton Vance Corporation","14.61","$4.4B","2005","n/a","n/a","http://www.nasdaq.com/symbol/etv",
"ETW","Eaton Vance Corporation","10.5","$1.12B","2005","n/a","n/a","http://www.nasdaq.com/symbol/etw",
"EV","Eaton Vance Corporation","31.66","$3.67B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ev",
"EOI","Eaton Vance Enhance Equity Income Fund","12.7","$497.5M","2004","n/a","n/a","http://www.nasdaq.com/symbol/eoi",
