"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FNB","F.N.B. Corporation","13.39","$2.8B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","28.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fnb^e",
"FFIV","F5 Networks, Inc.","100.66","$6.92B","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FN","Fabrinet","28.04","$1.01B","2010","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/fn",
"FB","Facebook, Inc.","109.41","$311.41B","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"FDS","FactSet Research Systems Inc.","154.55","$6.37B","1996","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fds",
"FICO","Fair Isaac Corporation","99.92","$3.14B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"FCS","Fairchild Semiconductor International, Inc.","20","$2.27B","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fcs",
"FMSA","Fairmount Santrol Holdings Inc.","2.58","$416.5M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/fmsa",
"FRP","FairPoint Communications, Inc.","16","$432.82M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/frp",
"FWM","Fairway Group Holdings Corp.","0.4399","$19.41M","2013","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/fwm",
"FALC","FalconStor Software, Inc.","1.48","$61.82M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"DAVE","Famous Dave&#39;s of America, Inc.","6.11","$42.51M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave",
"FARM","Farmer Brothers Company","25.62","$429.36M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/farm",
"FFKT","Farmers Capital Bank Corporation","26.1","$195.69M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffkt",
"FMNB","Farmers National Banc Corp.","8.75","$236M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb",
"FPI","Farmland Partners Inc.","10.73","$128.57M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fpi",
"FARO","FARO Technologies, Inc.","32.9","$545.8M","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","46.86","$13.51B","1987","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast",
"FATE","Fate Therapeutics, Inc.","1.82","$52.53M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","15.541","$58.19M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbss",
"FFG","FBL Financial Group, Inc.","58.13","$1.44B","1996","Finance","Life Insurance","http://www.nasdaq.com/symbol/ffg",
"FBRC","FBR & Co","18.74","$132.16M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/fbrc",
"FCB","FCB Financial Holdings, Inc.","33.25","$1.36B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/fcb",
"AGM.A","Federal Agricultural Mortgage Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm.a",
"AGM","Federal Agricultural Mortgage Corporation","35.85","$389.98M","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/agm",
"AGM^A","Federal Agricultural Mortgage Corporation","25.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^a",
"AGM^B","Federal Agricultural Mortgage Corporation","26.41","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^b",
"AGM^C","Federal Agricultural Mortgage Corporation","25.69","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^c",
"FRT","Federal Realty Investment Trust","152.29","$10.61B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/frt",
"FSS","Federal Signal Corporation","12.62","$787.84M","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fss",
"FDML","Federal-Mogul Holdings Corporation","9","$1.52B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/fdml",
"FII","Federated Investors, Inc.","28.42","$2.95B","1998","Finance","Investment Managers","http://www.nasdaq.com/symbol/fii",
"FNHC","Federated National Holding Company","19.81","$281.91M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc",
"FPT","Federated Premier Intermediate Municipal Income Fund","13.67","$95.45M","2002","n/a","n/a","http://www.nasdaq.com/symbol/fpt",
"FMN","Federated Premier Municipal Income Fund","15.271","$94.46M","2002","n/a","n/a","http://www.nasdaq.com/symbol/fmn",
"FDX","FedEx Corporation","144.42","$39.8B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
"FEIC","FEI Company","84.16","$3.44B","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/feic",
"FCH","FelCor Lodging Trust Incorporated","7.86","$1.1B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fch",
"FCH^A","FelCor Lodging Trust Incorporated","25.06","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fch^a",
"FHCO","Female Health Company (The)","2.61","$75.77M","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco",
"FENX","Fenix Parts, Inc.","5.27","$106.45M","2015","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/fenx",
"RACE","Ferrari N.V.","42.77","$15.35B","2015","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/race",
"FGP","Ferrellgas Partners, L.P.","16.22","$1.59B","1994","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/fgp",
"FOE","Ferro Corporation","10.59","$877.85M","n/a","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/foe",
"GSM","Ferroglobe PLC","9.56","$1.64B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"FCAM","Fiat Chrysler Automobiles N.V.","68.85","n/a","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcam",
"FCAU","Fiat Chrysler Automobiles N.V.","7.6","$12.9B","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcau",
"FBR","Fibria Celulose S.A.","8.46","$4.69B","1997","Basic Industries","Paper","http://www.nasdaq.com/symbol/fbr",
