"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GK","G&K Services, Inc.","71.17","$1.42B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/gk",
"WILC","G. Willi-Food International,  Ltd.","3.75","$49.15M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/wilc",
"GCV","Gabelli Convertible and Income Securities Fund, Inc. (The)","4.52","$62.48M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv",
"GCV^B","Gabelli Convertible and Income Securities Fund, Inc. (The)","27.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv^b",
"GDV","Gabelli Dividend","18","$1.49B","2003","n/a","n/a","http://www.nasdaq.com/symbol/gdv",
"GDV^A","Gabelli Dividend","26.5413","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^a",
"GDV^D","Gabelli Dividend","26.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^d",
"GAB","Gabelli Equity Trust, Inc. (The)","5.38","$1.03B","1986","n/a","n/a","http://www.nasdaq.com/symbol/gab",
"GAB^D","Gabelli Equity Trust, Inc. (The)","26.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^d",
"GAB^G","Gabelli Equity Trust, Inc. (The)","24.925","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^g",
"GAB^H","Gabelli Equity Trust, Inc. (The)","25.2799","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^h",
"GGZ","Gabelli Global Small and Mid Cap Value Trust (The)","10.3799","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/ggz",
"GGT","Gabelli Multi-Media Trust Inc. (The)","7.4","$179.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggt",
"GGT^B","Gabelli Multi-Media Trust Inc. (The)","26.5001","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggt^b",
"GUT","Gabelli Utility Trust (The)","6.33","$264.31M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gut",
"GUT^A","Gabelli Utility Trust (The)","26.18","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gut^a",
"GFA","Gafisa SA","1.44","$264.59M","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/gfa",
"GAIA","Gaiam, Inc.","5.49","$134.65M","1999","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gaia",
"GCAP","GAIN Capital Holdings, Inc.","7.2","$352.87M","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gcap",
"GLPG","Galapagos NV","44.84","$1.75B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glpg",
"GALT","Galectin Therapeutics Inc.","1.51","$36.13M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galt",
"GALTU","Galectin Therapeutics Inc.","4.19","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galtu",
"GALTW","Galectin Therapeutics Inc.","0.35","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galtw",
"GALE","Galena Biopharma, Inc.","0.8616","$139.5M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gale",
"GLMD","Galmed Pharmaceuticals Ltd.","4.7529","$52.76M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glmd",
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","24.0545","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggn^b",
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","5.54","$624.51M","2005","n/a","n/a","http://www.nasdaq.com/symbol/ggn",
"GBL","Gamco Investors, Inc.","37.38","$951.11M","1999","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gbl",
"GNT","GAMCO Natural Resources, Gold & Income Tust ","6.36","$133.88M","2011","n/a","n/a","http://www.nasdaq.com/symbol/gnt",
"GME","Gamestop Corporation","30.75","$3.22B","2002","Consumer Services","Electronics Distribution","http://www.nasdaq.com/symbol/gme",
"GLPI","Gaming and Leisure Properties, Inc.","28.85","$3.37B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/glpi",
"GPIC","Gaming Partners International Corporation","9.8","$77.7M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/gpic",
"GPS","Gap, Inc. (The)","30.17","$12.13B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/gps",
"GRMN","Garmin Ltd.","39.72","$8.26B","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn",
"GGAC","Garnero Group Acquisition Company","9.94","$184.91M","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggac",
"GGACR","Garnero Group Acquisition Company","0.1","n/a","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggacr",
"GGACU","Garnero Group Acquisition Company","10.05","$131.29M","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggacu",
"GGACW","Garnero Group Acquisition Company","0.05","n/a","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggacw",
"GARS","Garrison Capital Inc.","10.36","$168.38M","2013","n/a","n/a","http://www.nasdaq.com/symbol/gars",
"IT","Gartner, Inc.","83.68","$6.89B","1993","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/it",
"EGAS","Gas Natural Inc.","8","$84.04M","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas",
"GLOG","GasLog LP.","11.31","$910.42M","2012","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glog",
"GLOG^A","GasLog LP.","22.17","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glog^a",
"GLOP","GasLog Partners LP","17.1","$541.12M","2014","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glop",
