"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HEES","H&E Equipment Services, Inc.","15.75","$558.62M","2006","n/a","n/a","http://www.nasdaq.com/symbol/hees",
"HRB","H&R Block, Inc.","28.17","$6.65B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hrb",
"FUL","H. B. Fuller Company","40.43","$2.02B","n/a","Basic Industries","Home Furnishings","http://www.nasdaq.com/symbol/ful",
"HAE","Haemonetics Corporation","34.18","$1.74B","1991","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hae",
"HLG","Hailiang Education Group Inc.","9.5","$230.29M","2015","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hlg",
"HK","Halcon Resources Corporation","1.19","$145.62M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hk",
"HNRG","Hallador Energy Company","5.68","$165.06M","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","36.12","$31B","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/hal",
"HALL","Hallmark Financial Services, Inc.","10.27","$196.61M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hall",
"HALO","Halozyme Therapeutics, Inc.","9.03","$1.17B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/halo",
"HYH","Halyard Health, Inc.","27.72","$1.29B","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hyh",
"HBK","Hamilton Bancorp, Inc.","13.4999","$46.14M","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hbk",
"HMPR","Hampton Roads Bankshares Inc","1.75","$299.17M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hmpr",
"HBHC","Hancock Holding Company","25.3","$1.96B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhc",
"HBHCL","Hancock Holding Company","24.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhcl",
"HNH","Handy & Harman Ltd.","21.5","$262.47M","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/hnh",
"HBI","Hanesbrands Inc.","29.41","$11.52B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/hbi",
"HAFC","Hanmi Financial Corporation","22.18","$713.27M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hafc",
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","18.43","$706.48M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hasi",
"HNSN","Hansen Medical, Inc.","2.52","$47.56M","2006","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hnsn",
"HQCL","Hanwha Q CELLS Co., Ltd. ","16.5","$1.39B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hqcl",
"HDNG","Hardinge, Inc.","10.64","$136.6M","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hdng",
"HOG","Harley-Davidson, Inc.","48.93","$9B","n/a","Consumer Non-Durables","Motor Vehicles","http://www.nasdaq.com/symbol/hog",
"HAR","Harman International Industries, Incorporated","81.41","$5.79B","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/har",
"HLIT","Harmonic Inc.","3.28","$285.6M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/hlit",
"HMY","Harmony Gold Mining Company Limited","3.39","$1.48B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/hmy",
"HRMN","Harmony Merger Corp.","9.9","$149.34M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmn",
"HRMNU","Harmony Merger Corp.","10.25","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmnu",
"HRMNW","Harmony Merger Corp.","0.2","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmnw",
"TINY","Harris & Harris Group, Inc.","1.92","$59.33M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/tiny",
"HRS","Harris Corporation","80.42","$10.02B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrs",
"HSC","Harsco Corporation","4.95","$396.47M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hsc",
"HHS","Harte-Hanks, Inc.","3.65","$223.56M","1993","Technology","Advertising","http://www.nasdaq.com/symbol/hhs",
"HGH","Hartford Financial Services Group, Inc. (The)","31.55","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","44.71","$17.74B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hig",
"HIG.WS","Hartford Financial Services Group, Inc. (The)","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hig.ws",
"HART          ","Harvard Apparatus Regenerative Technology, Inc.","1.835","$24.69M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hart          ",
"HBIO","Harvard Bioscience, Inc.","2.87","$97.42M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","10.4","$65.13M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcap",
"HCAPL","Harvest Capital Credit Corporation","24.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcapl",
"HNR","Harvest Natural Resources Inc","0.5635","$28.97M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hnr",
"HAS","Hasbro, Inc.","77.98","$9.73B","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/has",
"HTS","Hatteras Financial Corp","14.19","$1.34B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hts",
"HTS^A","Hatteras Financial Corp","22.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hts^a",
"HVT.A","Haverty Furniture Companies, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hvt.a",
