"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IDSY","I.D. Systems, Inc.","4.65","$62.64M","1999","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/idsy",
"IAC","IAC/InterActiveCorp","46.75","$3.88B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/iac",
"IAG","Iamgold Corporation","2.2","$880.06M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/iag",
"IKGH","Iao Kun Group Holding Company Limited","1","$62.2M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/ikgh",
"IBKC","IBERIABANK Corporation","52.07","$2.15B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ibkc",
"IBKCP","IBERIABANK Corporation","25.76","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ibkcp",
"IBIO","iBio, Inc.","0.6198","$51.2M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio",
"IBO","IBO (Listing Market - NYSE Amex Network B F)","153.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibo",
"ICAD","icad inc.","4.71","$74.09M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/icad",
"IEP","Icahn Enterprises L.P.","63.99","$8.41B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/iep",
"ICFI","ICF International, Inc.","33.4","$633.37M","2006","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/icfi",
"IBN","ICICI Bank Limited","6.56","$19.05B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ibn",
"ICLR","ICON plc","73.25","$4.19B","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/iclr",
"ICON","Iconix Brand Group, Inc.","8.73","$422.48M","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/icon",
"ICUI","ICU Medical, Inc.","96.39","$1.55B","1992","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/icui",
"IDA","IDACORP, Inc.","73.99","$3.72B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ida",
"IPWR","Ideal Power Inc.","4.29","$40.33M","2013","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ipwr",
"INVE","Identiv, Inc.","2.19","$23.54M","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/inve",
"IDRA","Idera Pharmaceuticals, Inc.","1.83","$216.58M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/idra",
"IEX","IDEX Corporation","78.13","$5.93B","1989","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/iex",
"IDXX","IDEXX Laboratories, Inc.","78.15","$7.01B","1991","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/idxx",
"IDI","IDI, Inc.","5.35","$83.48M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/idi",
"DSKY","iDreamSky Technology Limited","13.69","$595.22M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dsky",
"IDT","IDT Corporation","14.55","$339.4M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/idt",
"IEC","IEC Electronics Corp.","4.31","$43.87M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec",
"IROQ","IF Bancorp, Inc.","19.05","$76.47M","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/iroq",
"IRG","Ignite Restaurant Group, Inc.","3.3199","$86.92M","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/irg",
"RXDX","Ignyta, Inc.","7.14","$211.48M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rxdx",
"IHS","IHS Inc.","109.89","$7.38B","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ihs",
"IIVI","II-VI Incorporated","21.22","$1.3B","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/iivi",
"KANG","iKang Healthcare Group, Inc.","20.37","$1.33B","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/kang",
"IKNX","Ikonics Corporation","11.57","$23.35M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/iknx",
"ITW","Illinois Tool Works Inc.","98.17","$35.71B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/itw",
"ILMN","Illumina, Inc.","158.59","$23.31B","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/ilmn",
"ISNS","Image Sensing Systems, Inc.","2.728","$13.69M","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/isns",
"IMN","Imation Corporation","1.3","$48.22M","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/imn",
"IMAX","Imax Corporation","32.48","$2.26B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/imax",
"IMMR","Immersion Corporation","8.36","$237.09M","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/immr",
"ICCC","ImmuCell Corporation","6.32","$19.31M","1987","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/iccc",
"IMDZ","Immune Design Corp.","11.51","$231.85M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imdz",
"IMNP          ","Immune Pharmaceuticals Inc.","0.468","$14.17M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imnp          ",
"IMUC","ImmunoCellular Therapeutics, Ltd.","0.3349","$30.24M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc",
"IMGN","ImmunoGen, Inc.","7.87","$685.17M","1989","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imgn",
"IMMU","Immunomedics, Inc.","2.55","$241.59M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/immu",
"IMH","Impac Mortgage Holdings, Inc.","13.61","$140.49M","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh",
"IPXL","Impax Laboratories, Inc.","36.32","$2.64B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipxl",
"IMO","Imperial Oil Limited","33.56","$28.45B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo",
"IMPV","Imperva, Inc.","46.99","$1.52B","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/impv",
"IMMY","Imprimis Pharmaceuticals, Inc.","4.04","$39.11M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/immy",
"IMPR","Imprivata, Inc.","11.78","$295.8M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/impr",
"IMS","IMS Health Holdings, Inc.","26.33","$8.67B","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/ims",
"INCR","INC Research Holdings, Inc.","42.26","$2.28B","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incr",
