"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MBTF","M B T Financial Corp","7.94","$180.75M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mbtf",
"MTB","M&T Bank Corporation","111.32","$17.71B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mtb",
"MTB.WS","M&T Bank Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb.ws",
"MTB^","M&T Bank Corporation","1025","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb^",
"MTB^C","M&T Bank Corporation","1040","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtb^c",
"MDC","M.D.C. Holdings, Inc.","24.26","$1.19B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mdc",
"MTSI","M/A-COM Technology Solutions Holdings, Inc.","43.79","$2.33B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/mtsi",
"MHO","M/I Homes, Inc.","18.64","$459.57M","1993","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mho",
"MHO^A","M/I Homes, Inc.","24.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mho^a",
"MCBC","Macatawa Bank Corporation","6.27","$212.71M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mcbc",
"MAC","Macerich Company (The)","80.06","$11.94B","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","21.8","$1.95B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cli",
"MFNC","Mackinac Financial Corporation","10.4525","$64.99M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mfnc",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","19.88","$247.87M","2005","n/a","n/a","http://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Company","64.14","$5.14B","2004","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/mic",
"MFD","Macquarie/First Trust Global","12.1225","$103.44M","2004","n/a","n/a","http://www.nasdaq.com/symbol/mfd",
"BMA","Macro Bank Inc.","67.68","$3.96B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bma",
"MCUR","MACROCURE LTD.","0.98","$16.72M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/mcur",
"MGNX","MacroGenics, Inc.","17.6","$607.66M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mgnx",
"M","Macy&#39;s Inc","44.35","$13.94B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/m",
"MCZ","Mad Catz Interactive Inc","0.2575","$18.92M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mcz",
"MCN","Madison Covered Call & Equity Strategy Fund","7.61","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/mcn",
"MSP","Madison Strategic Sector Premium Fund","11.25","$65.23M","2005","n/a","n/a","http://www.nasdaq.com/symbol/msp",
"MVG","Mag Silver Corporation","8.62","$686.86M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mvg",
