"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NBR","Nabors Industries Ltd.","9.2","$3.05B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NBRV","Nabriva Therapeutics AG","8.87","$187.7M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nbrv",
"NC","NACCO Industries, Inc.","52.48","$360.81M","n/a","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/nc",
"NAKD","Naked Brand Group Inc.","2.43","$4.26M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/nakd",
"NTP","Nam Tai Property Inc.","6.09","$259.55M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/ntp",
"NNDM","Nano Dimension Ltd.","6.9","$51.89M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/nndm",
"NANO","Nanometrics Incorporated","14.63","$355.47M","1984","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nano",
"NSPH","Nanosphere, Inc.","0.855","$10.41M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nsph",
"NSTG","NanoString Technologies, Inc.","15.8","$308.21M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/nstg",
"NNVC","NanoViricides, Inc.","2.66","$153.81M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nnvc",
"NK","NantKwest, Inc.","8.17","$663.57M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/nk",
"NSSC","NAPCO Security Technologies, Inc.","6.14","$115.58M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/nssc",
"NDAQ","Nasdaq, Inc.","65.98","$10.81B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ndaq",
"NTRA","Natera, Inc.","8.97","$448.46M","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ntra",
"NATH","Nathan&#39;s Famous, Inc.","45.42","$197.52M","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nath",
"NAUH","National American University Holdings, Inc.","1.51","$36.42M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/nauh",
"NBHC","National Bank Holdings Corporation","20.17","$594.28M","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/nbhc",
"NKSH","National Bankshares, Inc.","33.08","$230.1M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/nksh",
"FIZZ","National Beverage Corp.","42.66","$1.98B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fizz",
"NCMI","National CineMedia, Inc.","14.82","$929.79M","2007","Consumer Services","Advertising","http://www.nasdaq.com/symbol/ncmi",
"NCOM","National Commerce Corporation","23.13","$249.29M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/ncom",
"NFG","National Fuel Gas Company","49.24","$4.18B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/nfg",
"NGHC","National General Holdings Corp","20.88","$2.2B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghc",
"NGHCO","National General Holdings Corp","25.45","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghco",
"NGHCP","National General Holdings Corp","25.2292","$55.5M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghcp",
"NGHCZ","National General Holdings Corp","23.9","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghcz",
"NGG","National Grid Transco, PLC","70.02","$52.76B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ngg",
"NHI","National Health Investors, Inc.","64.35","$2.47B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nhi",
"NHC","National HealthCare Corporation","65.41","$981.52M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/nhc",
"NHLD","National Holdings Corporation","2.49","$30.98M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/nhld",
"NATI","National Instruments Corporation","30.19","$3.86B","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nati",
"NATL","National Interstate Corporation","29.99","$596.86M","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/natl",
"NOV","National Oilwell Varco, Inc.","33.39","$12.55B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nov",
"NPBC","National Penn Bancshares, Inc.","11.7","$1.65B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/npbc",
"NPK","National Presto Industries, Inc.","81.34","$563.95M","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/npk",
"NRCIA","National Research Corporation","14.86","$362.78M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcia",
"NRCIB","National Research Corporation","35","$854.45M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcib",
"NNN","National Retail Properties","44.62","$6.29B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nnn",
"NNN^D","National Retail Properties","26.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nnn^d",
"NNN^E","National Retail Properties","25.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nnn^e",
"NSEC","National Security Group, Inc.","15.3","$38.44M","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/nsec",
