"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OIIM","O2Micro International Limited","1.49","$38.1M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oiim",
"OVLY","Oak Valley Bancorp (CA)","9.6065","$77.6M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovly",
"OAK","Oaktree Capital Group, LLC","49.49","$7.61B","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/oak",
"OAS","Oasis Petroleum Inc.","7.48","$1.35B","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oas",
"OASM","Oasmia Pharmaceutical AB","3.072","$108.08M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/oasm",
"OXY","Occidental Petroleum Corporation","69.95","$53.43B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oxy",
"OBCI","Ocean Bio-Chem, Inc.","2.3683","$21.27M","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/obci",
"OPTT","Ocean Power Technologies, Inc.","2.64","$4.84M","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/optt",
"ORIG","Ocean Rig UDW Inc.","1.19","$165.01M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/orig",
"OSHC","Ocean Shore Holding Co.","17.05","$109.18M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/oshc",
"OII","Oceaneering International, Inc.","32.41","$3.17B","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/oii",
"OCFC","OceanFirst Financial Corp.","17.41","$300.85M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ocfc",
"OCRX","Ocera Therapeutics, Inc.","3.62","$74.22M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocrx",
"OZM","Och-Ziff Capital Management Group LLC","4.33","$2.07B","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/ozm",
"OCIP","OCI Partners LP","7.28","$633.34M","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ocip",
"OCLR","Oclaro, Inc.","4.24","$470.83M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/oclr",
"OFED","Oconee Federal Financial Corp.","20.05","$117.9M","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ofed",
"OCUL","Ocular Therapeutix, Inc.","8.43","$208.51M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ocul",
"OCLS","Oculus Innovative Sciences, Inc.","1.13","$19.8M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ocls",
"OCLSW","Oculus Innovative Sciences, Inc.","0.3799","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/oclsw",
"OCN","Ocwen Financial Corporation","2.95","$365.36M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ocn",
"OMEX","Odyssey Marine Exploration, Inc.","4.93","$256187.45","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/omex",
"ODP","Office Depot, Inc.","5.285","$2.9B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/odp",
"OFG","OFG Bancorp","7.18","$314.97M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ofg",
"OFG^A","OFG Bancorp","18.1301","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ofg^a",
"OFG^B","OFG Bancorp","18.1455","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofg^b",
"OFG^D","OFG Bancorp","18","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofg^d",
"OFS","OFS Capital Corporation","12.11","$117.35M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofs",
"OGE","OGE Energy Corporation","27.14","$5.42B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/oge",
"OHAI","OHA Investment Corporation","3.3832","$68.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ohai",
"OVBC","Ohio Valley Banc Corp.","22.6442","$93.24M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovbc",
"OHRP","Ohr Pharmaceuticals, Inc.","3.27","$102.88M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ohrp",
"OIBR","Oi S.A.","0.3144","$220.23M","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/oibr",
"OIBR.C","Oi S.A.","n/a","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/oibr.c",
"OIS","Oil States International, Inc.","30.74","$1.58B","2001","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/ois",
"ODC","Oil-Dri Corporation Of America","36","$260.79M","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/odc",
"ODFL","Old Dominion Freight Line, Inc.","68.81","$5.77B","1991","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/odfl",
"OLBK","Old Line Bancshares, Inc.","18.19","$191.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/olbk",
"ONB","Old National Bancorp","12.21","$1.4B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/onb",
"OPOF","Old Point Financial Corporation","18.96","$94.02M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/opof",
"ORI","Old Republic International Corporation","18.21","$4.77B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ori",
"OSBC","Old Second Bancorp, Inc.","7.21","$212.58M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/osbc",
"OSBCP","Old Second Bancorp, Inc.","10.15","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/osbcp",
"OLN","Olin Corporation","16.07","$2.65B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/oln",
"OLLI","Ollie&#39;s Bargain Outlet Holdings, Inc.","21.44","$1.25B","2015","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/olli",
"ZEUS","Olympic Steel, Inc.","14.81","$162.24M","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/zeus",
"OMAM","OM Asset Management plc","12.3","$1.48B","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/omam",
"OFLX","Omega Flex, Inc.","35.05","$353.72M","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/oflx",
"OHI","Omega Healthcare Investors, Inc.","33.59","$6.32B","1992","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ohi",
"OME","Omega Protein Corporation","18.8","$418.23M","1998","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ome",
"OMER","Omeros Corporation","16.37","$621.56M","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/omer",
"OMCL","Omnicell, Inc.","28.48","$1.02B","2001","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/omcl",
"OMC","Omnicom Group Inc.","78.95","$18.92B","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/omc",
