"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"QTWO","Q2 Holdings, Inc.","21.42","$834.52M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qtwo",
"QADA","QAD Inc.","19.91","$373.71M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qada",
"QADB","QAD Inc.","16.28","$305.58M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qadb",
"QCRH","QCR Holdings, Inc.","23.45","$275.33M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/qcrh",
"QEP","QEP Resources, Inc.","12.6","$2.23B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qep",
"QGEN","Qiagen N.V.","21.83","$5.09B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/qgen",
"QIHU","Qihoo 360 Technology Co. Ltd.","75.13","$9.69B","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/qihu",
"QIWI","QIWI plc","11.98","$653.6M","2013","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qiwi",
"QKLS","QKL Stores, Inc.","0.65","$989511.9","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/qkls",
"QLIK","Qlik Technologies Inc.","26.56","$2.48B","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlik",
"QLGC","QLogic Corporation","13.14","$1.09B","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/qlgc",
"QLTI","QLT Inc.","2.34","$123.62M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/qlti",
"QRVO","Qorvo, Inc.","48.64","$6.67B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/qrvo",
"QTS","QTS Realty Trust, Inc.","47.29","$1.95B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/qts",
"QUAD","Quad Graphics, Inc","13.13","$655.52M","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/quad",
"KWR","Quaker Chemical Corporation","82.28","$1.09B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kwr",
"QCOM","QUALCOMM Incorporated","52.22","$78.06B","1991","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/qcom",
"QSII","Quality Systems, Inc.","14.93","$909.03M","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/qsii",
"QBAK","Qualstar Corporation","0.4101","$5.03M","2000","Technology","Electronic Components","http://www.nasdaq.com/symbol/qbak",
"QLYS","Qualys, Inc.","25.39","$874.24M","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlys",
"NX","Quanex Building Products Corporation","17.21","$588.9M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/nx",
"PWR","Quanta Services, Inc.","22.56","$3.45B","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/pwr",
"QTM","Quantum Corporation","0.5829","$154.02M","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/qtm",
