"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RRD","R.R. Donnelley & Sons Company","16.19","$3.38B","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/rrd",
"RAX","Rackspace Hosting, Inc","21.15","$2.77B","2008","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rax",
"RADA","Rada Electronics Industries Limited","0.41","$6.52M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/rada",
"RDCM","Radcom Ltd.","14.03","$120.49M","1997","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/rdcm",
"RDN","Radian Group Inc.","12.08","$2.39B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rdn",
"RLGT^A","Radiant Logistics, Inc.","23.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlgt^a",
"RLGT","Radiant Logistics, Inc.","3.4","$165.73M","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rlgt",
"ROIA","Radio One, Inc.","1.54","$76.83M","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/roia",
"ROIAK","Radio One, Inc.","1.48","$73.84M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/roiak",
"RSYS","RadiSys Corporation","3.5","$129.59M","1995","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/rsys",
"RDUS","Radius Health, Inc.","35.02","$1.51B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdus",
"RDNT","RadNet, Inc.","6.19","$285.49M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/rdnt",
"RDWR","Radware Ltd.","11.91","$539.48M","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rdwr",
"RAS","RAIT Financial Trust","2.83","$258.2M","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ras",
"RAS^A","RAIT Financial Trust","16.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^a",
"RAS^B","RAIT Financial Trust","17.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^b",
"RAS^C","RAIT Financial Trust","19.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^c",
"RFT","RAIT Financial Trust","18.8088","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rft",
"RFTA","RAIT Financial Trust","22.31","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rfta",
"RL","Ralph Lauren Corporation","98.49","$8.27B","1997","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/rl",
"RMBS","Rambus, Inc.","13.25","$1.45B","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/rmbs",
"RPT","Ramco-Gershenson Properties Trust","17.21","$1.36B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rpt",
"RPT^D","Ramco-Gershenson Properties Trust","60.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rpt^d",
"RAND","Rand Capital Corporation","4.18","$26.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rand",
"RLOG","Rand Logistics, Inc.","1.06","$19.38M","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/rlog",
"GOLD","Randgold Resources Limited","90.13","$8.4B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gold",
"RRC","Range Resources Corporation","31.11","$5.28B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rrc",
"RPD","Rapid7, Inc.","14.44","$600.61M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/rpd",
"RPTP","Raptor Pharmaceutical Corp.","4.17","$355.47M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rptp",
"RAVE","Rave Restaurant Group, Inc.","5.39","$55.59M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/rave",
"RAVN","Raven Industries, Inc.","13.49","$492.46M","n/a","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ravn",
"RJD","Raymond James Financial, Inc.","26.53","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjd",
"RJF","Raymond James Financial, Inc.","47.45","$6.7B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjf",
"RYAM","Rayonier Advanced Materials Inc.","8.98","$384.97M","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ryam",
"RYN","Rayonier Inc.","23.08","$2.83B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ryn",
"RTN","Raytheon Company","122.71","$36.69B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rtn",
"ROLL","RBC Bearings Incorporated","68.87","$1.66B","2005","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/roll",
"RICK","RCI Hospitality Holdings, Inc.","9.42","$93.71M","1995","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/rick",
"RCMT","RCM Technologies, Inc.","5.4634","$68.15M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/rcmt",
"RMAX","RE/MAX Holdings, Inc.","34.55","$607.54M","2013","Finance","Real Estate","http://www.nasdaq.com/symbol/rmax",
"RLOC","ReachLocal, Inc.","1.84","$54.14M","2010","Technology","Advertising","http://www.nasdaq.com/symbol/rloc",
"RDI","Reading International Inc","11.95","$278.71M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/rdi",
"RDIB","Reading International Inc","12.38","$278.33M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/rdib",
"RGSE","Real Goods Solar, Inc.","0.7425","$9.13M","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/rgse",
"RELY","Real Industry, Inc. ","7.34","$212.07M","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/rely",
"RLD","RealD Inc","10.94","$560.8M","2010","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rld",
"RNWK","RealNetworks, Inc.","4.3","$157.75M","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/rnwk",
"RLGY","Realogy Holdings Corp.","34.34","$5.04B","2012","Finance","Real Estate","http://www.nasdaq.com/symbol/rlgy",
"RP","RealPage, Inc.","20.96","$1.65B","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/rp",
