"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"STBA","S&T Bancorp, Inc.","26.02","$905.77M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/stba",
"SANW","S&W Seed Company","4.68","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/sanw",
"SBR","Sabine Royalty Trust","31.92","$465.37M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sbr",
"SBRA","Sabra Healthcare REIT, Inc.","21.35","$1.39B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbra",
"SBRAP","Sabra Healthcare REIT, Inc.","25.375","$145.91M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbrap",
"SABR","Sabre Corporation","28.05","$7.72B","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/sabr",
"SAEX","SAExploration Holdings, Inc.","0.8999","$15.63M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SB","Safe Bulkers, Inc","0.785","$65.57M","2008","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sb",
"SB^B","Safe Bulkers, Inc","23.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sb^b",
"SB^C","Safe Bulkers, Inc","10.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sb^c",
"SB^D","Safe Bulkers, Inc","9.8501","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sb^d",
"SFE","Safeguard Scientifics, Inc.","12.14","$245.01M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/sfe",
"SAFT","Safety Insurance Group, Inc.","56.08","$846.36M","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/saft",
"SGA","Saga Communications, Inc.","40.25","$233.92M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sga",
"SAGE","Sage Therapeutics, Inc.","34.47","$1.1B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sage",
"SGNT","Sagent Pharmaceuticals, Inc.","13.46","$442M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sgnt",
"SAIA","Saia, Inc.","27.37","$689.35M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/saia",
"SAJA","Sajan, Inc.","3.4","$16.26M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/saja",
"SALM","Salem Media Group, Inc.","4.99","$127.06M","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/salm",
"CRM","Salesforce.com Inc","71.63","$48.06B","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/crm",
"SMM","Salient Midstream & MLP Fund","7.67","$72.86M","2012","n/a","n/a","http://www.nasdaq.com/symbol/smm",
"SAL","Salisbury Bancorp, Inc.","33.0977","$90.48M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sal",
"SBH","Sally Beauty Holdings, Inc.","31.74","$4.64B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/sbh",
"SSN","Samson Oil & Gas Limited","1.02","$14.47M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SJT","San Juan Basin Royalty Trust","4.94","$230.25M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sjt",
"SN","Sanchez Energy Corporation","5.35","$334.8M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sn",
"SPP","Sanchez Production Partners LP","13.25","$40.39M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/spp",
"SAFM","Sanderson Farms, Inc.","90.7","$2.05B","1987","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/safm",
"SNDK","SanDisk Corporation","76.7","$15.42B","1995","Technology","Electronic Components","http://www.nasdaq.com/symbol/sndk",
"SDT","SandRidge Mississippian Trust I","2.74","$76.72M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdt",
"SDR","SandRidge Mississippian Trust II","1.9","$94.48M","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdr",
"PER","SandRidge Permian Trust","2.83","$148.58M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/per",
"SAND          ","Sandstorm Gold Ltd","3.11","$428.96M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sand          ",
"SASR","Sandy Spring Bancorp, Inc.","27.72","$660.25M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sasr",
"SGMO","Sangamo BioSciences, Inc.","6","$422.21M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/sgmo",
"SANM","Sanmina Corporation","22.14","$1.71B","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/sanm",
"GCVRZ","Sanofi","0.092","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gcvrz",
"SNY","Sanofi","41.46","$108.27B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sny",
"SC","Santander Consumer USA Holdings Inc.","11.31","$4.05B","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/sc",
"SOV^C","Santander Holdings USA, Inc.","25.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sov^c",
"SAP","SAP SE","78.65","$94B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sap",
"SPNS","Sapiens International Corporation N.V.","11.31","$542.1M","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/spns",
"SAQ","Saratoga Investment Corp","24.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/saq",
"SAR","Saratoga Investment Corp","14.31","$81.5M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sar",
"SRPT","Sarepta Therapeutics, Inc.","15.74","$718.79M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/srpt",
"SSL","Sasol Ltd.","31.16","$20.38B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssl",
"BFS","Saul Centers, Inc.","52","$1.1B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bfs",
"BFS^C","Saul Centers, Inc.","26.57","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfs^c",
"SBFG","SB Financial Group, Inc.","10.1","$49.66M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfg",
"SBFGP","SB Financial Group, Inc.","11.62","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfgp",
