"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TROW","T. Rowe Price Group, Inc.","72.63","$18.03B","1986","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/trow",
"TTOO","T2 Biosystems, Inc.","8.79","$179.18M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ttoo",
"DATA","Tableau Software, Inc.","44.97","$3.33B","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/data",
"TAHO","Tahoe Resources, Inc.","10.08","$2.29B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/taho",
"TLRD","Tailored Brands, Inc.","17.68","$855.36M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tlrd",
"TAIT","Taitron Components Incorporated","0.9501","$5.26M","1995","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/tait",
"TWN","Taiwan Fund, Inc. (The)","15.32","$125.95M","1986","n/a","n/a","http://www.nasdaq.com/symbol/twn",
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.","25.35","$131.47B","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsm",
"TTWO","Take-Two Interactive Software, Inc.","35.83","$3.04B","1997","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ttwo",
"XRS","TAL Education Group","50.64","$4.05B","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xrs",
"TAL","TAL International Group, Inc.","12.73","$425.12M","2005","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/tal",
"TLN","Talen Energy Corporation","8.21","$1.06B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tln",
"TEGP","Tallgrass Energy GP, LP","15.93","$2.5B","2015","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tegp",
"TEP","Tallgrass Energy Partners, LP","37.18","$2.5B","2013","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tep",
"TLMR","Talmer Bancorp, Inc.","17.51","$1.17B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/tlmr",
"TNDM","Tandem Diabetes Care, Inc.","10.14","$307.05M","2013","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/tndm",
"TLF","Tandy Leather Factory, Inc.","7.75","$75.59M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/tlf",
"SKT","Tanger Factory Outlet Centers, Inc.","34.74","$3.33B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/skt",
"TNGO","Tangoe, Inc.","7.47","$294.55M","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tngo",
"TANH","Tantech Holdings Ltd.","5.03","$108.65M","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tanh",
"TRX","Tanzanian Royalty Exploration Corporation","0.2601","$28.11M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TAOM","Taomee Holdings Limited","3.6","$128.07M","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/taom",
"TEDU","Tarena International, Inc.","10.87","$591.68M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/tedu",
