"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"USCR","U S Concrete, Inc.","54.03","$820.94M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/uscr",
"PRTS","U.S. Auto Parts Network, Inc.","2.92","$99.52M","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prts",
"USB","U.S. Bancorp","40.46","$70.29B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb",
"USB^A","U.S. Bancorp","775","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb^a",
"USB^H","U.S. Bancorp","21.88","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^h",
"USB^M","U.S. Bancorp","29.63","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^m",
"USB^N","U.S. Bancorp","26.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^n",
"USB^O","U.S. Bancorp","25.99","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^o",
"USEG","U.S. Energy Corp.","0.4294","$12.17M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/useg",
"HTM","U.S. Geothermal Inc.","0.6172","$66.41M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/htm",
"GROW","U.S. Global Investors, Inc.","1.64","$25.07M","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/grow",
"USPH","U.S. Physical Therapy, Inc.","50.96","$636.9M","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/usph",
"SLCA","U.S. Silica Holdings, Inc.","20.97","$1.12B","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/slca",
"UBIC","UBIC, Inc.","16.4687","$294.39M","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/ubic",
"UBNT","Ubiquiti Networks, Inc.","32.52","$2.7B","2011","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/ubnt",
"UBS","UBS AG","16.97","$63.69B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/ubs",
"UBS^D","UBS AG","16.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubs^d",
"UCP","UCP, Inc.","6.22","$49.85M","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ucp",
"UFPT","UFP Technologies, Inc.","22.78","$162.61M","1993","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/ufpt",
"UGI","UGI Corporation","38.74","$6.66B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ugi",
"ULTA","Ulta Salon, Cosmetics & Fragrance, Inc.","191.62","$12.21B","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ulta",
"UCTT","Ultra Clean Holdings, Inc.","5.21","$168.04M","2004","Technology","Semiconductors","http://www.nasdaq.com/symbol/uctt",
"UPL","Ultra Petroleum Corp.","0.8084","$123.89M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/upl",
"RARE","Ultragenyx Pharmaceutical Inc.","60","$2.34B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rare",
"ULBI","Ultralife Corporation","5.09","$78M","1992","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ulbi",
"UGP","Ultrapar Participacoes S.A.","18.48","$10.28B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ugp",
"ULTR","Ultrapetrol (Bahamas) Limited","0.22","$30.96M","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ultr",
"UTEK","Ultratech, Inc.","20.97","$556.17M","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/utek",
