"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WTI","W&T Offshore, Inc.","2.87","$218.15M","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wti",
"WPC","W.P. Carey Inc.","59.98","$6.27B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wpc",
"WRB","W.R. Berkley Corporation","53.38","$6.54B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wrb",
"WRB^B","W.R. Berkley Corporation","25.42","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^b",
"WRB^C","W.R. Berkley Corporation","25.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^c",
"GRA","W.R. Grace & Co.","71.52","$5.04B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gra",
"GWW","W.W. Grainger, Inc.","217.27","$13.41B","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/gww",
"WNC","Wabash National Corporation","12.58","$816.89M","1991","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","100.18","$5.69B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wbc",
"WDR","Waddell & Reed Financial, Inc.","25.85","$2.11B","1998","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/wdr",
"WGBS","WaferGen Bio-systems, Inc.","0.615","$8.89M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wgbs",
"WAGE","WageWorks, Inc.","46.09","$1.66B","2012","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wage",
"WBA","Walgreens Boots Alliance, Inc.","81.41","$87.82B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/wba",
"WD","Walker & Dunlop, Inc.","24.57","$759.62M","2010","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wd",
"WMT","Wal-Mart Stores, Inc.","67.17","$215.07B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/wmt",
"DIS","Walt Disney Company (The)","97.94","$159.8B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dis",
"WAC","Walter Investment Management Corp.","7.14","$253.99M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wac",
"WRES","Warren Resources, Inc.","0.2402","$20.47M","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wres",
"WAFD","Washington Federal, Inc.","22.47","$2.06B","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wafd",
"WAFDW","Washington Federal, Inc.","6.37","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wafdw",
"WRE","Washington Real Estate Investment Trust","27.39","$1.87B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wre",
"WASH","Washington Trust Bancorp, Inc.","37.99","$645.89M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wash",
"WFBI","WashingtonFirst Bankshares Inc","20.55","$216.16M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wfbi",
"WCN","Waste Connections, Inc.","64.79","$7.93B","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/wcn",
"WM","Waste Management, Inc.","58.4","$26.03B","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/wm",
"WAT","Waters Corporation","129.15","$10.49B","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wat",
"WSBF","Waterstone Financial, Inc.","14","$409.03M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wsbf",
"WSO.B","Watsco, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wso.b",
"WSO","Watsco, Inc.","127.86","$4.52B","n/a","Consumer Durables","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wso",
"WTS","Watts Water Technologies, Inc.","52.93","$1.81B","1986","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wts",
"WVE","WAVE Life Sciences Ltd.","14.27","$307.54M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/wve",
"W","Wayfair Inc.","45.15","$3.81B","2014","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/w",
"WAYN","Wayne Savings Bancshares Inc.","11.91","$33.13M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wayn",
"WSTG","Wayside Technology Group, Inc.","16.2637","$78.62M","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/wstg",
"WCIC","WCI Communities, Inc.","18.27","$481.25M","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/wcic",
"WDFC","WD-40 Company","104.85","$1.51B","1973","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/wdfc",
"WFT","Weatherford International plc","7.24","$5.64B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/wft",
"FLAG","WeatherStorm Forensic Accounting Long Short ETF","31.604","$12.64M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/flag",
"WEB","Web.com Group, Inc.","17.91","$899.66M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/web",
"WBMD","WebMD Health Corp","58.1","$2.21B","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wbmd",
"WBS","Webster Financial Corporation","37.09","$3.39B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wbs",
"WBS^E","Webster Financial Corporation","26.1599","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wbs^e",
"WEC","WEC Energy Group, Inc.","58.15","$18.36B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/wec",
"WB","Weibo Corporation","18.08","$3.68B","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wb",
"WTW","Weight Watchers International Inc","14.2","$903.81M","2001","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/wtw",
"WRI","Weingarten Realty Investors","37.04","$4.59B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wri",
"WMK","Weis Markets, Inc.","42.48","$1.14B","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/wmk",
"WCG","WellCare Health Plans, Inc.","90.98","$4.01B","2004","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/wcg",
"WEBK","Wellesley Bancorp, Inc.","19.34","$47.62M","2012","Finance","Banks","http://www.nasdaq.com/symbol/webk",
"WFC","Wells Fargo & Company","50.07","$254.19B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wfc",
"WFC.WS","Wells Fargo & Company","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc.ws",
"WFC^J","Wells Fargo & Company","27.78","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^j",
"WFC^L","Wells Fargo & Company","1176.87","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^l",
"WFC^N","Wells Fargo & Company","25.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^n",
"WFC^O","Wells Fargo & Company","25.2097","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^o",
"WFC^P","Wells Fargo & Company","25.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^p",
"WFC^Q","Wells Fargo & Company","25.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^q",
"WFC^R","Wells Fargo & Company","28.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^r",
"WFC^T","Wells Fargo & Company","26.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^t",
"WFC^V","Wells Fargo & Company","25.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wfc^v",
