"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XTLY","Xactly Corporation","6.17","$180.07M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xtly",
"XBIT","XBiotech Inc.","8.39","$270.03M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xbit",
"XELB","Xcel Brands, Inc","5.24","$96.63M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/xelb",
"XEL","Xcel Energy Inc.","40.38","$20.5B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
"XCRA","Xcerra Corporation","5.82","$316.17M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xcra",
"XNCR","Xencor, Inc.","12.5","$507.28M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xncr",
"XHR","Xenia Hotels & Resorts, Inc.","16.15","$1.8B","2015","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/xhr",
"XBKS","Xenith Bankshares, Inc.","7.58","$98.45M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XENE","Xenon Pharmaceuticals Inc.","7.4899","$107.87M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xene",
"XNPT","XenoPort, Inc.","4.74","$300.78M","2005","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xnpt",
"XRM","Xerium Technologies, Inc.","8.89","$139.92M","2005","Basic Industries","Textiles","http://www.nasdaq.com/symbol/xrm",
"XRX","Xerox Corporation","10.78","$10.92B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"XGTI","XG Technology, Inc","0.1171","$1.68M","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgti",
"XGTIW","XG Technology, Inc","0.05","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgtiw",
"XLNX","Xilinx, Inc.","46.72","$11.94B","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"XIN","Xinyuan Real Estate Co Ltd","4","$294.12M","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/xin",
"XL","XL Group plc","35.8","$10.45B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/xl",
"XOXO","XO Group, Inc.","15.74","$413.03M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xoxo",
"XOMA","XOMA Corporation","0.9027","$107.25M","1986","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xoma",
"XPLR","Xplore Technologies Corp","4","$43.63M","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XPO","XPO Logistics, Inc.","27.37","$3B","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/xpo",
"XTNT","Xtant Medical Holdings, Inc.","3.0331","$36.05M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xtnt",
"XCOM","Xtera Communications, Inc.","3.34","$57.3M","2015","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/xcom",
"XTLB","XTL Biopharmaceuticals Ltd.","1.36","$18.6M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xtlb",
"XUE","Xueda Education Group","5.38","$335.32M","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xue",
"XNET","Xunlei Limited","5.98","$403.7M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xnet",
"MESG","Xura, Inc.","20.67","$516.81M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mesg",
"XYL","Xylem Inc.","38.45","$6.86B","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/xyl",
