"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"YDKN","Yadkin Financial Corporation","23.29","$738.75M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ydkn",
"YHOO","Yahoo! Inc.","33.81","$32.01B","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/yhoo",
"AUY","Yamana Gold Inc.","3.11","$2.95B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/auy",
"YNDX","Yandex N.V.","14.26","$4.55B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/yndx",
"YZC","Yanzhou Coal Mining Company Limited","5.26","$2.59B","1998","Energy","Coal Mining","http://www.nasdaq.com/symbol/yzc",
"YELP","Yelp Inc.","20.63","$1.57B","2012","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/yelp",
"YGE","Yingli Green Energy Holding Company Limited","4.91","$8.92M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/yge",
"YRD","Yirendai Ltd.","8.09","$473.27M","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/yrd",
"YOD","You On Demand Holdings, Inc.","1.62","$38.93M","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/yod",
"YOKU","Youku Tudou Inc.","27.45","$5.37B","2010","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/yoku",
"YCB","Your Community Bankshares, Inc.","32.99","$178.37M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ycb",
"YPF","YPF Sociedad Anonima","17.52","$6.89B","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
"YRCW","YRC Worldwide, Inc.","9.47","$308.83M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/yrcw",
"YECO","Yulong Eco-Materials Limited","3.98","$47.75M","2015","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/yeco",
"YUM","Yum! Brands, Inc.","77.77","$31.79B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/yum",
"YUMA^A","Yuma Energy, Inc.","3.6601","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/yuma^a",
"YUMA","Yuma Energy, Inc.","0.24","$17.2M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
"YUME","YuMe, Inc.","3.85","$132.55M","2013","Technology","Advertising","http://www.nasdaq.com/symbol/yume",
"YY","YY Inc.","55.08","$3.02B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/yy",
