"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ZFGN","Zafgen, Inc.","5.93","$161.5M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","9.44","$261.06M","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/zagg",
"ZFC","ZAIS Financial Corp.","15.3","$121.95M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/zfc",
"ZAIS","ZAIS Group Holdings, Inc.","7.09","$99.76M","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/zais",
"ZAYO","Zayo Group Holdings, Inc.","25.01","$6.1B","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zayo",
"ZBRA","Zebra Technologies Corporation","67.01","$3.49B","1991","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/zbra",
"ZLTQ","ZELTIQ Aesthetics, Inc.","23.23","$906.57M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/zltq",
"ZEN","Zendesk, Inc.","20.09","$1.82B","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/zen",
"ZPIN","Zhaopin Limited","15.49","$967.21M","2014","Technology","Professional Services","http://www.nasdaq.com/symbol/zpin",
"ZHNE","Zhone Technologies, Inc.","1.297","$43.39M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zhne",
"Z","Zillow Group, Inc.","23.08","$4.12B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","24","$4.28B","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/zg",
"ZBH","Zimmer Biomet Holdings, Inc.","104.6","$20.8B","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/zbh",
"ZN","Zion Oil & Gas Inc","1.93","$73.37M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/znwaa",
"ZB^A","Zions Bancorporation","21.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^a",
"ZB^F","Zions Bancorporation","26.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^f",
"ZB^G","Zions Bancorporation","25.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^g",
"ZB^H","Zions Bancorporation","25.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^h",
"ZBK","Zions Bancorporation","27.6685","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zbk",
"ZION","Zions Bancorporation","24.93","$5.1B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zion",
"ZIONW","Zions Bancorporation","2.41","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionw",
"ZIONZ","Zions Bancorporation","1.43","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionz",
"ZIOP","ZIOPHARM Oncology Inc","8.48","$1.12B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ziop",
"ZIXI","Zix Corporation","4.14","$229.69M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/zixi",
"ZOES","Zoe&#39;s Kitchen, Inc.","38.34","$743.25M","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/zoes",
"ZTS","Zoetis Inc.","41.87","$20.82B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zts",
"ZGNX","Zogenix, Inc.","8.76","$216.91M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zgnx",
"ZSAN","Zosano Pharma Corporation","2.67","$31.95M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zsan",
"ZUMZ","Zumiez Inc.","19.005","$507.16M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/zumz",
"ZF","Zweig Fund, Inc. (The)","12.7545","$263.71M","1986","n/a","n/a","http://www.nasdaq.com/symbol/zf",
"ZTR","Zweig Total Return Fund, Inc. (The)","11.73","$406.37M","1988","n/a","n/a","http://www.nasdaq.com/symbol/ztr",
"ZYNE","Zynerba Pharmaceuticals, Inc.","8.44","$77.65M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zyne",
"ZNGA","Zynga Inc.","2.23","$1.92B","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/znga",
